"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-301151","Game freezes graphically after ~20 seconds","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","This bug has affected multiple versions, since around April.\n\nLaunching the game ends in the window freezing after 20~30 seconds without fail, regardless of whether it’s in the main menu or being played. The freeze is only graphical, though. The game can still technically be played {presumably; movement sounds play when pressing the movement keys, and the mouse cursor appears when pressing the pause or inventory keys} despite the view being frozen.\n\nThis was tested on multiple clients (including the official Launcher,) before and after both a Java Runtime and graphics driver update, and before and after deleting the .minecraft folder.\n\n"
"MC-300562","Ender Dragon bring about unusual acceleration","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When the Ender Dragon is lingering over the return portal, it has no hitbox except for its head. This allows the player to be positioned inside the dragon's center. At the moment when the Ender Dragon tries to take off again, its hitbox reappears, and the player gets launched away. If the player shoots an arrow at that precise moment, the resulting arrow velocity becomes extremely high—not because the actual knockback on the Ender Dragon is particularly strong, but possibly because knockback is still being calculated internally (server-side?). Since arrow velocity is apparently calculated based on the internal values, the closer the player is to the dragon's center, the more abnormal the resulting arrow speed becomes. This is what is being claimed.\n\nExpected result: Arrow velocity should correspond to the actual knockback experienced by the player.Actual result: Either the internal knockback calculation on the Ender Dragon is absurdly exaggerated, or arrow velocity is being calculated based on internal values—at least one of these must be true, resulting in extremely high arrow speeds.\n\nWhile it's questionable whether knockback behavior should follow a purely exponential function—especially considering the changing hitbox—it remains unclear how much of this behavior is intentional.\n\nI don't have the equipment or specs to record a video myself, so I can't demonstrate the behavior in the latest version. However, there is an older version video that explains a bug caused by the same underlying factors, which I believe serves as a helpful reference. It should be reproducible using the same steps.  \n\n"
"MC-300836","Bed is Occupied after pc shut off","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I went to sleep in my bed in-game when my power temporarily went out. After regaining power, I re-logged into my world, which saved to right before I slept. When I tried sleeping in the bed, it said the bed was occupied, even though it was a single player world. Breaking the bed did reset it back to its normal state.\n\n"
"MC-300033","Item duplication with /item modify command","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Steps to reproduce the issue:\n\n-place a repeating command block with this command:\n\nitem modify entity @a weapon.mainhand {""function"":""minecraft:set_damage"",""damage"": -0.001,""add"": true}\n\n-hold an item with more than 1000 max durability in your hand and it’s durability should start decreasing\n\n-open the inventory and hover the cursor on the slot with the item\n\n-repeatedly press the key to move the item to another slot and bring it back\n\n\n\nExpected result:\n\nthe item does not duplicate\n\n\n\nActual result:\n\neventually the item will duplicate\n\n"
"MC-300774","Cant steam in discord, Error code -1073740791","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","While playing java edition in multiplayer, trying to steam the game in discord only menu bar is showing. only few time game is getting steam on that time its too laggy\n\n"
"MC-300409","Piglin can rarely drop command block","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When I working of Zombified Piglin farm with auto Piglin and Copper Golem sort system, /tp @e[type=piglin] ~ ~ ~ to magma block and wait it to die, then it dropped command block (this don’t contain any code)\n\nI don’t have any picture now, cuz this happend when piglin don’t have anything to trade with (maybe?)\n\n"
"MC-300891","Music disc ""tears"" does not show the juke box's playing state","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","the tears music disk does not set the jukeboxes playing blockstate \n\n"
"MC-300737","Game randomly crashes in Singleplayer because of HashMap ConcurrentModificationException","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When attempting to play the game in singleplayer, there's a random chance the game might crash. Most of the time, it's HashMap#computeIfAbsent throwing ConcurrentModificationException.This issue happens because the hash map is the same object in both client and server in singleplayer. This creates a problem where the game can crash because when client thread runs computeIfAbsent on the map, server might add or remove entry from the map and vice versa.\n\nThis issue happens pretty sparsely and rarely because in the key is same in both threads most of the time which the exception isn’t thrown if an existing value gets changed when computeIfAbsent is running. This leaves pretty small time gap which makes it hard to reproduce. Though you can create a random string array, use them as keys and put them to HashMap, clear and redo it every tick in a method that runs in both threads to recreate it more easily.\n\nAs specified in JDK-8071667, this only happens if you use compute, computeIfAbsent, computeIfPresent or merge methods. It is specific to HashMap and other HashMap types.\n\nIn attachments there’s a method that recreates the crash which runs every player tick in both threads. strings is an array of 1000 random strings, map is String to String HashMap.\n\n"
"MC-301132","I don't receive items after a certain height","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I was on a Minecraft server and a valuable item dropped. The item was 2 blocks above the other one. However, the first block was oak wood and the second block was on the stair. The item was on the open side of the stair and I couldn't get it. It's normal and it happens on every server.\n\n"
"MC-300420","Sprint Window slider shows useless values","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","You cannot sprint by double-tapping W after setting the sprint window option to 1 or 2. It seems that this duration includes both movement start ticks (see attachment), which means that setting the option to 2 would require you to press W once in two consecutive ticks (which just gets interpreted as holding W), and setting it to 1 requires two presses within a single tick (impossible due to how the game registers inputs).\n\n"
"MC-301221","Incorrect Item light rendering 1.21.8","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Some items when on the ground or held in hand arent correctly rendered at night. Commonly affects food and tools from testing. Also affects items held by mobs. So far only tested on 1.21.8 Vanilla ClientExpected result should be that items in main/offhand, held by mobs and items on ground should not ‘glow’ at night. \n\n\n\n"
"MC-300973","Bug about - copper golems isn’t oxidised ","Bug","25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None","I tried the command “tick sprint 3d” to watch the copper golem oxidize, but it’s not working. Mojang, please fix this. 🙏\n\n"
"MC-301125","i got 2 bugs ","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","so, I own Minecraft because I got through and now, I got to buy it and I can't mine anything or place anything done \n\n"
"MC-301203","I cant see my capes and my skin in game","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i have a problem, I change my laptop, i join my minecraft acount and i change my skin but when i start in a new world my skin is Steve, and i dont have capes in my menu but i colect 7 capes\n\n"
"MC-300031","vindicators not spawning on a raid","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","vindicators not spawning on raids for some reason, meaning no totems\n\nedit: this bug does not exist i just thought wrong\n\n"
"MC-301159","Rail junction failed on redstone block","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Rail junction failed if railway is on a redstone block\n\nActually, I only tested it on 1.21.5\n\nI don’t know how to describe this, so check the video\n\n"
