issue_key,ground_truth,prediction,status,prediction_status,reason,model,prompt_version,cost_usd
MC-300809,Non-Executable,Executable,mismatch,valid_json,"The report describes a specific action (putting a block in the inventory) and the observed incorrect behavior (unable to remove it unless dragging back), providing enough context for reproduction.",gpt-4o-mini-2024-07-18,v2,0.00012870
MC-300845,Executable,Non-Executable,mismatch,valid_json,"The report states a symptom of being stuck on the loading screen but does not provide specific actions or conditions that lead to this issue, making it unclear how to reproduce the problem.",gpt-4o-mini-2024-07-18,v2,0.00012450
MC-300851,Non-Executable,Executable,mismatch,valid_json,"The report provides a concrete action of leading an angry wolf with a sheep nearby and specifies the context of trying to lead the wolf to a fence post, which allows for reproduction of the bug.",gpt-4o-mini-2024-07-18,v2,0.00012360
MC-300886,Executable,Non-Executable,mismatch,valid_json,"The report states the symptom of not being able to fly in creative mode but does not provide specific actions or conditions that trigger the issue, making it unclear how to reproduce the problem.",gpt-4o-mini-2024-07-18,v2,0.00012840
MC-300915,Non-Executable,Executable,mismatch,valid_json,"The report provides a clear sequence of actions involving creating a Nether Portal, entering and exiting it, and describes the observed behavior of the portal unlinking, which allows another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00014940
MC-300934,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of the issue (game restart) but does not provide clear, actionable steps or context on how to reproduce the bug, such as specific actions taken before the restart.",gpt-4o-mini-2024-07-18,v2,0.00013290
MC-300935,Non-Executable,Executable,mismatch,valid_json,"The report provides a concrete action of placing a redstone torch attached to a block above the thrower or launcher, which can be reasonably followed to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00012870
MC-300973,Non-Executable,Executable,mismatch,valid_json,"The report provides a concrete action (using the command 'tick sprint 3d') and describes the observed incorrect behavior (the copper golem is not oxidizing), allowing another person to attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00012975
MC-301059,Executable,Non-Executable,mismatch,valid_json,"The report describes the symptom of torches disappearing but does not provide specific actions or conditions to reproduce the issue, making it unclear how to trigger the bug.",gpt-4o-mini-2024-07-18,v2,0.00012480
MC-301071,Executable,Non-Executable,mismatch,valid_json,The report states the symptom of the bug (incorrect sound) but does not provide specific actions or context for reproducing the issue.,gpt-4o-mini-2024-07-18,v2,0.00011775
MC-301122,Executable,Non-Executable,mismatch,valid_json,"The report describes the issue with the green player dot on maps but does not provide specific steps or actions to reproduce the problem, making it unclear how to trigger the bug.",gpt-4o-mini-2024-07-18,v2,0.00012585
MC-301128,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of the issue (mouse not clicking) but does not provide specific actions or conditions that lead to this behavior, making it impossible for someone else to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00012930
MC-301151,Executable,Non-Executable,mismatch,valid_json,"The report describes a symptom of the game freezing but does not provide specific actions or conditions that trigger the issue, making it unclear how to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00013710
MC-301184,Non-Executable,Executable,mismatch,valid_json,"The report provides clear steps to reproduce the issue, including building a specific setup, placing carpets, and activating the Redstone circuit, along with the observed and expected behaviors.",gpt-4o-mini-2024-07-18,v2,0.00015855
