BUG-ID,S2R Label,S2R Irrep Category,Reason,OB Category,OB Label,Reason,EB Category,EB Label,Reason,,
MC-300546 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,Patrol captains are not equipped with a banner and dont drop one. They drop an Ominous Bottle instead.,,
MC-300546 Raw,Non-Executable,Missing Information,Lacks instructions how to start a raid,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300562 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Valid
MC-300562 Raw,Non-Executable,Missing Information,no step for getting the end of the portal,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300572 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300572 Raw,Non-Executable,Missing Information,Description not involves possible steps to observe the bug,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300574 Improved,Executable,,,Present,Insufficient,Lots of extra information added which may cause ambugiuity,Present,Accurate,,,
MC-300574 Raw,Non-Executable,Missing Information,Description not involves possible steps to observe the bug,Present,Insufficient,"Really short, not detailed explanation to fully understand the observed bug ",Not Present,,,,
,,,,,,,,,,,
MC-300598 Improved,Non-Executable,Wrong Information,Survivor mode with default settings does not include commands.,Present,Sufficient,,Present,Accurate,,,
MC-300598 Raw,Non-Executable,Missing Information,Statement contradictory. Burning the fire animation and demage animation,Present,Sufficient,Which type of mob is not specified,Not Present,,,,
,,,,,,,,,,,
MC-300599 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Valid
MC-300599 Raw,Non-Executable,Missing Information,Does not include any information about how to generate flying machine,Present,Insufficient,Some parts require an assumption. Which blocks,Not Present,,,,
,,,,,,,,,,,
MC-300602 Improved,Executable,,,Present,Sufficient,,Not Present,,,,
MC-300602 Raw,Non-Executable,Missing Information,Deos lake is inside the cave. Which tree are you are talking about?,Present,Insufficient,Which tree growing up. Need specification,Not Present,,,,
,,,,,,,,,,,
MC-300607 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300607 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300611 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300611 Raw,Non-Executable,Missing Information,No steps related to spawning zombies,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300612 Improved,Non-Executable,Missing Information,Missing step related to observing the mobs without an attack movement occur,Present,Sufficient,,Present,Accurate,,,
MC-300612 Raw,Non-Executable,Missing Information,No reproducible steps specified,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300614 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300614 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300618 Improved,Executable,,,Present,Insufficient,Assumed only 1 level left c,Present,Accurate,,,
MC-300618 Raw,Non-Executable,Missing Information,No external steps specified by the user regarding the reproduction,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300620 Improved,Non-Executable,Missing Information,You can not come across with ground flag. Require an extra sep to check the flag.,Present,Sufficient,,Present,Accurate,,,
MC-300620 Raw,Non-Executable,Missing Information,You can not come across with ground flag. Require an extra sep to check the flag.,Present,Insufficient,requireis assumtion about 1b 0b,Not Present,,,,
,,,,,,,,,,,
MC-300634 Improved,Non-Executable,Missing Information,Missing how to locate and structure the trapdoor and a staircase.,Present,Sufficient,,Present,Accurate,,,
MC-300634 Raw,Non-Executable,Missing Information,Missing how to locate and structure the trapdoor and a staircase.,Present,Insufficient,Can not understand from lag aur hang. Wrong English can not be understood.,Not Present,,,,
,,,,,,,,,,,
MC-300643 Improved,Non-Executable,Missing Information,can not apply from the game,Present,Insufficient,can not apply from the game,Present,Inaccurate,can not apply from the game,,
MC-300643 Raw,Non-Executable,Missing Information,can not apply from the game,Present,Insufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300647 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300647 Raw,Non-Executable,Ambiguous Information,No any steps tried to make tourch,Present,Insufficient,so weak sentence,Not Present,,,,
,,,,,,,,,,,
MC-300649 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300649 Raw,Non-Executable,Missing Information,how do I create the resource pack,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300659 Improved,Non-Executable,Missing Information,The game is missing from where it was purchased.,Present,Insufficient,The game is missing from where it was purchased.,Present,Inaccurate,The game is missing from where it was purchased.,,
MC-300659 Raw,Non-Executable,Missing Information,,Present,Insufficient,The game is missing from where it was purchased.,Not Present,,,,
,,,,,,,,,,,
MC-300683 Improved,Non-Executable,Wrong Information,"When UI is opened, it is impossible to click on block",Present,Insufficient,Game mechanical issue leading extra assumtion. ,Present,Inaccurate,Mechanical issue exists. We can not click,,
MC-300683 Raw,Non-Executable,Wrong Information,"When UI is opened, it is impossible to click on block",Present,Insufficient,Just written game crash,Not Present,,,,
,,,,,,,,,,,
MC-300715 Improved,Executable,,Minor miss information about going to the end dimension.,Present,Sufficient,Assume photo exist,Present,Accurate,,,
MC-300715 Raw,Non-Executable,Missing Information,How to make ender dragon is missing.,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300731 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300731 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300736 Improved,Non-Executable,Wrong Information,Survival mode default summon command will not work,Present,Sufficient,,Present,Accurate,,,
MC-300736 Raw,Non-Executable,Missing Information,How to make skeleton is not described,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300737 Improved,Executable,,"Create a method that runs every thick"" Assumed in the attached files this have",Present,Sufficient,,Present,Accurate,,,
MC-300737 Raw,Executable,,"""Create a method that runs every thick"" Assumed in the attached files this have",Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300745 Improved,Executable,,Minor miss information about going to the end dimension.,Present,Sufficient,,Present,Accurate,,,
MC-300745 Raw,Non-Executable,Missing Information,Ambiguity in long. Also mising how to make copper golem miss command.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300760 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300760 Raw,Non-Executable,Missing Information,Missing Information about realms list,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300761 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300761 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300768 Improved,Non-Executable,Missing Information,Nether Portal shape is missing.,Present,Sufficient,,Not Present,,,,
MC-300768 Raw,Non-Executable,Missing Information,How to make nether portal missing,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300774 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300774 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300776 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,"Those are feature requests, not the expected behavior of the game mechanics",,
MC-300776 Raw,Executable,,,Present,Sufficient,,Present,Inaccurate,"Those are feature requests, not the expected behavior of the game mechanics",,
,,,,,,,,,,,
MC-300778 Improved,Executable,,"correct command good improvement minecraft:item ~ ~ ~ {Item:{id:""minecraft:stone"",Count:1b}}'",Present,Sufficient,,Present,Inaccurate,Killing does not cause vibration,Actionable,Invalid
MC-300778 Raw,Non-Executable,Missing Information,No steps provided,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300786 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300786 Raw,Non-Executable,Missing Information,How to go to language setting missing,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300789 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300789 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300792 Improved,Executable,,,Present,Sufficient,,Present,Accurate,Look Non minecraft,,
MC-300792 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300793 Improved,Executable,,,Present,Insufficient,Does not tell anything about overworld which is misleading,Present,Accurate,,,
MC-300793 Raw,Non-Executable,Missing Information,How to go to end city is not mentioned like portal opening etc,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300806 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300806 Raw,Non-Executable,Missing Information,Missing step how to use the block to save a structure.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300807 Improved,Non-Executable,Wrong Information,LLM tried to specify the data generator but forgot to use --report command before starting the server,Present,Insufficient,Underscore assumption not correct,Present,Inaccurate,Underscore assumption not correct,,
MC-300807 Raw,Non-Executable,Ambiguous Information,"Run which data generator, how?",Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300809 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300809 Raw,Non-Executable,Missing Information,How to go to end city is not mentioned like portal opening etc,Present,Insufficient,"Grammer makes it hard to understand. Can not understand from ""remove all but one""",Not Present,,,,
,,,,,,,,,,,
MC-300815 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300815 Raw,Non-Executable,Missing Information,Does not tell how to generate soul lantern,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300836 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300836 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300843 Improved,Non-Executable,Wrong Information,creative world with default setting does not support multiplayer,Present,Sufficient,,Present,Accurate,,,
MC-300843 Raw,Non-Executable,Missing Information,Does not tell anything multiplayer settings,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300844 Improved,Non-Executable,Missing Information,It should be night otherwise skeleton will be on fire,Present,Insufficient,It should be night,Present,Accurate,,,
MC-300844 Raw,Non-Executable,Missing Information,No steps for reproducing or spawn ,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300845 Improved,Executable,,,Present,Insufficient,Last 2 sentences are assumptions,Present,Accurate,,,
MC-300845 Raw,Executable,,,Present,Insufficient,Need specifications,Not Present,,,,
,,,,,,,,,,,
MC-300851 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300851 Raw,Non-Executable,Wrong Information,Lead an angry wolf wrong?,Present,Insufficient,Where is the duplication took place,Not Present,,,,
,,,,,,,,,,,
MC-300860 Improved,Non-Executable,Missing Information,Enchantments creation not exists,Present,Sufficient,,Present,Accurate,,,
MC-300860 Raw,Non-Executable,Missing Information,Enchantments creation not exists,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300861 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300861 Raw,Non-Executable,Ambiguous Information,which block,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300872 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300872 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300874 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300874 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300875 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300875 Raw,Non-Executable,Missing Information,Does not mention Piglin Brutes,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300876 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300876 Raw,Non-Executable,Missing Information,Missing information about how to crreate spesific world,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300877 Improved,Executable,,,Present,Sufficient,Different game version is an assumption,Present,Accurate,,,
MC-300877 Raw,Non-Executable,Missing Information,You should go to the nether portal to mine quartz.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300881 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Invalid
MC-300881 Raw,Non-Executable,Missing Information,How to go to skın reportıng ıs not mentioned,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300886 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300886 Raw,Executable,,Didn't tell the double click. But present. So applicable - general knowledge.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300889 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300889 Raw,Non-Executable,Ambiguous Information,"Any other object needs to be specified, such as. Requiring assumption to reproduce the bug",Present,Sufficient,Pumpkin carved is understod clearly,Present,Accurate,saying older version not shows the EB,,
,,,,,,,,,,,
MC-300891 Improved,Non-Executable,Missing Information,How to check the block state is missing. Can be understood from OB,Present,Sufficient,,Present,Accurate,,,
MC-300891 Raw,Non-Executable,Missing Information,How to check the block state is missing.,Present,Insufficient,Red stone comparative missing. Should be spesified while writing blockstate.,Not Present,,,,
,,,,,,,,,,,
MC-300894 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,Harness can not be put on baby ghast. But it is expected from the user. User wants this.,Actionable,Valid
MC-300894 Raw,Executable,,,Present,Sufficient,,Not Present,,,Actionable,Valid
,,,,,,,,,,,
MC-300898 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300898 Raw,Non-Executable,,"Does not tell first wear ormor, etc, but acceptable because it says when wearing, and this is the only case.",Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300902 Improved,Non-Executable,Ambiguous Information,"Without inserting a suitable item to the spaces, we cannot fill the text field",Present,Insufficient,"LLM misunderstood the main bug report, talking about different issue",Present,Inaccurate,"LLM misunderstood the main bug report, talking about different issue",,
MC-300902 Raw,Non-Executable,Missing Information,Missing the initial steps,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300903 Improved,Non-Executable,Ambiguous Information,"Chest is on the other side, not a related step",Present,Sufficient,,Present,Accurate,,,
MC-300903 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300905 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300905 Raw,Non-Executable,Missing Information,does not tell how to locate hoppers,Present,Sufficient,,Not Present,,Not explicitly written,,
,,,,,,,,,,,
MC-300915 Improved,Non-Executable,Wrong Information,it should be 4x5 instead of 5x4,Present,Insufficient,added misleading information. Says it is also wrong when entering the nether.,Present,Accurate,,,
MC-300915 Raw,Non-Executable,Missing Information,Does not tell how to create nether portal,Present,Sufficient,,Not Present,,Not explicitly written but understood,,
,,,,,,,,,,,
MC-300925 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Invalid
MC-300925 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-300927 Improved,Non-Executable,Wrong Information,should not be bedrock edition,Present,Sufficient,,Present,Accurate,,,
MC-300927 Raw,Non-Executable,,does not tell details about the changes,Present,Sufficient,,Not Present,,"This can be understood from the inability to switch modes, although it is not explicitly stated.",,
,,,,,,,,,,,
MC-300934 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300934 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300935 Improved,Non-Executable,Ambiguous Information,Above and below phrases are interchangebly,Present,Insufficient,A Redstone Torch on the side of a block cannot power a block that is above it,Present,Inaccurate,A Redstone Torch on the side of a block cannot power a block that is above it,,
MC-300935 Raw,Non-Executable,Wrong Information,"Item names, places are not correct the insertion places are not correct (above should be below)",Present,Insufficient,A Redstone Torch on the side of a block cannot power a block that is above it,Present,Inaccurate,A Redstone Torch on the side of a block cannot power a block that is above it,,
,,,,,,,,,,,
MC-300937 Improved,Non-Executable,Wrong Information,To achieve block or leave is not correct. Remove wolf armour with shears to get the achievement.,Present,Sufficient,unable to unlock present concise but does not include misinformation,Present,Inaccurate,Includes miss information present in the S2R,,
MC-300937 Raw,Non-Executable,Missing Information,Need an assumption because of the wrong name of a block.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300943 Improved,Non-Executable,Missing Information,The Reduced Debug Info feature is a Minecraft plugin and is not included in the base game. This should be mentioned,Present,Sufficient,,Present,Accurate,,,
MC-300943 Raw,Non-Executable,Missing Information,deos not tell which options are clicked.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300953 Improved,Non-Executable,Ambiguous Information,which should be around 200 fps is an assumption unrealstic,Present,Sufficient,,Present,Accurate,,,
MC-300953 Raw,Non-Executable,Missing Information,Does not tell how to reproduce with steps. Can not understand and distinguish steps.,Present,Sufficient,,Present,Accurate,Reaching the 200 FPS.,,
,,,,,,,,,,,
MC-300957 Improved,Non-Executable,Missing Information,which chunks and how,Present,Sufficient,,Present,Accurate,,,
MC-300957 Raw,Non-Executable,Missing Information,Needs some steps that says move around etc.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300962 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-300962 Raw,Executable,,,Present,Sufficient,,Present,Accurate,normally written,,
,,,,,,,,,,,
MC-300973 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Valid
MC-300973 Raw,Non-Executable,Missing Information,how to oxidize not clear,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300980 Improved,Non-Executable,Wrong Information,sneak is in control label,Present,Sufficient,,Present,Accurate,,,
MC-300980 Raw,Non-Executable,Missing Information,how to sneak ,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-300998 Improved,Non-Executable,Missing Information,not present,Not Present,,,Not Present,,,,
MC-300998 Raw,Non-Executable,Missing Information,not present,Not Present,,,Not Present,,,,
,,,,,,,,,,,
MC-301008 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301008 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301018 Improved,Executable,,,Present,Insufficient,Sufficient but extra misleading information exists with the Bedrock edition.,Present,Accurate,,,
MC-301018 Raw,Non-Executable,Missing Information,Does not tell how to pause game.,Present,Insufficient,"It's ambiguous what is meant by ""only pausing the game,"" and it is unclear overall.",Not Present,,,,
,,,,,,,,,,,
MC-301045 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301045 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301046 Improved,Non-Executable,Missing Information,"A third-party software is needed, such as Optifine, which is missing in the installation. Also no menu item in the options like Shaders menu enabling",Present,Sufficient,,Present,Accurate,,,
MC-301046 Raw,Non-Executable,Missing Information,How to install is missing. What to install is missing.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301052 Improved,Non-Executable,Ambiguous Information,Festive mash-up pack is unknown. need spesifications,Present,Sufficient,,Present,Accurate,,,
MC-301052 Raw,Non-Executable,Missing Information,Instructions for installing and accessing the missing pack are needed. The specifications for the ambiguous Festive Mash-Up Pack are also unknown.,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301059 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301059 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301071 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301071 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301073 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301073 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301076 Improved,Non-Executable,Missing Information,"How to make backup is not explained. You should go into folders, etc",Present,Insufficient,Looking to HUD is an assumption can be misleading the developer,Present,Inaccurate,Can not locate the biome by using the command given.,,
MC-301076 Raw,Non-Executable,Missing Information,Can not understood too vague,Present,Insufficient,Too ambiguis can not be understand,Not Present,,,,
,,,,,,,,,,,
MC-301106 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,It should not remain attached,Actionable,Valid
MC-301106 Raw,Non-Executable,Missing Information,no steps provided,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
