"issue_key","ground_truth","prediction","status","prediction_status","reason","s2r_reproducibility","s2r_validity","s2r_failure_type","s2r_reason","expected_behavior_presence","expected_behavior_quality","expected_behavior_reason","observed_behavior_presence","observed_behavior_quality","observed_behavior_reason","overall_reason","model","prompt_version","cost_usd"
"MC-300715","Executable","Non-Executable","mismatch","valid_json","The steps do not specify how to encounter the Ender Dragon head in a way that guarantees the visual glitch, as it could be either from the dragon itself or a placed block.","Irreproducible","Not Applicable","Missing Information","The steps do not specify how to encounter the Ender Dragon head in a way that guarantees the visual glitch, as it could be either from the dragon itself or a placed block.","Present","Accurate","The expected behavior clearly states that the Ender Dragon head should render correctly without glitches, aligning with Minecraft mechanics.","Present","Sufficient","The observed behavior describes the visual glitch in detail, making it clear what the issue is.","While the expected and observed behaviors are well-defined, the steps to reproduce lack critical information on how to consistently trigger the visual glitch, making the report non-executable.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00078615"
"MC-300736","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the visual glitch with the skeleton's bow.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the visual glitch with the skeleton's bow.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of how skeletons should animate their bow when shooting.","Present","Sufficient","The observed behavior is detailed enough to understand the specific visual glitch occurring with the skeleton's bow.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00076245"
"MC-300737","Executable","Non-Executable","mismatch","valid_json","The steps to reproduce lack clarity on how to ensure that the method runs in both client and server threads simultaneously, which is critical for reproducing the bug.","Irreproducible","Not Applicable","Missing Information","The steps to reproduce lack clarity on how to ensure that the method runs in both client and server threads simultaneously, which is critical for reproducing the bug.","Present","Accurate","The expected behavior clearly states that the game should not crash and should handle concurrent modifications safely.","Present","Sufficient","The observed behavior provides a detailed explanation of the crashes occurring due to the ConcurrentModificationException, aligning with the reported issue.","While the expected and observed behaviors are well-defined, the steps to reproduce are not executable due to missing critical information on how to set up the concurrent access correctly.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00088335"
"MC-300768","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue of two overworld portals linking to the same nether portal, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of two overworld portals linking to the same nether portal, requiring only general Minecraft knowledge.","Not Present","Not Applicable","The expected behavior is not explicitly stated in the report.","Present","Sufficient","The observed behavior is clearly described, indicating the player was sent 300 blocks away in an underground cave.","The report provides a clear reproduction path and sufficient details about the observed behavior, but lacks an explicit expected behavior statement.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00074820"
"MC-300843","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the locator bar in multiplayer.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00078315"
"MC-300844","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of how skeletons should hold bows in the game.","Present","Sufficient","The observed behavior is described in detail, clearly indicating the visual glitch with the bow's positioning.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which align with the original issue intent.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00076395"
"MC-300860","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the unintended enchantment behavior.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the unintended enchantment behavior.","Present","Accurate","The expected behavior is clearly defined, stating that armor should not receive weapon-specific enchantments, aligning with Minecraft's mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, describing how incompatible enchantments were applied to armor.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00083340"
"MC-300902","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and concrete path to reproduce the issue, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and concrete path to reproduce the issue, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the anvil interface.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which are clear and aligned with the original issue intent.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00077520"
"MC-300903","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected observations.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected observations.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the Copper Golem in Minecraft.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00088035"
"MC-300915","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes without requiring additional assumptions.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes without requiring additional assumptions.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics regarding portal linking and spawning.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcomes of the bug, including the unexpected portal generation and lag.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00084690"
"MC-300935","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the intended bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the intended bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft's redstone mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which align with the original intent of the bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00080025"
"MC-300943","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue of the 'Reduced Debug Info' toggle not functioning as intended.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of the 'Reduced Debug Info' toggle not functioning as intended.","Present","Accurate","The expected behavior is clearly defined, stating that the debug screen should display full debug information when the toggle is off, which aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is detailed, explaining that the debug information remains reduced despite the toggle being off, which clearly describes the issue.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00077775"
"MC-300953","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the FPS drop issue, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the FPS drop issue, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined, aligning with the game's mechanics and the player's experience in previous versions.","Present","Sufficient","The observed behavior is detailed and clearly describes the FPS issues experienced, allowing readers to understand the specific outcome.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00082500"
"MC-300957","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue of the game freezing and chunks not loading.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of the game freezing and chunks not loading.","Present","Accurate","The expected behavior is clearly defined and aligns with the mechanics of Minecraft regarding chunk loading and game responsiveness.","Present","Sufficient","The observed behavior is detailed and clearly describes the freezing issue and chunk loading problems, allowing for a clear understanding of the bug.","The report provides a comprehensive and clear reproduction path, expected outcomes, and observed issues, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00078855"
"MC-300980","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug regarding the sneaking functionality.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug regarding the sneaking functionality.","Present","Accurate","The expected behavior is clearly defined and aligns with the game's mechanics regarding the 'Hold Sneak' functionality.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which are clear and aligned with the game's mechanics.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00077385"
"MC-301046","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended functionality of the shader program.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the issue, expected behavior, and observed behavior, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00080565"
"MC-301052","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue with the Festive Mash-up Pack, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue with the Festive Mash-up Pack, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly stated as wanting the rain to be clear and the snowflakes to be larger, aligning with the intended visual effects of the mash-up pack.","Present","Sufficient","The observed behavior is described in detail, explaining how the precipitation appears incorrectly, which allows for a clear understanding of the issue.","The report effectively outlines the steps to reproduce the bug, the expected outcome, and the observed behavior, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00076365"
"MC-301109","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary actions and expected outcomes.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft's mechanics regarding item storage and inventory management.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, describing the duplication of items in both the inventory and the chest.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, all of which align with the original intent of the bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00079710"
"MC-301117","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected observations.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected observations.","Present","Accurate","The expected behavior is clearly defined, aligning with Minecraft mechanics regarding item placement on entities.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without ambiguity.","The report effectively outlines the steps to reproduce the bug, expected outcomes, and observed issues, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00081420"
"MC-301128","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue of the mouse being unresponsive after dying in-game.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of the mouse being unresponsive after dying in-game.","Present","Accurate","The expected behavior is clearly defined, stating that the mouse should function normally after a player dies, which aligns with Minecraft mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand that the mouse becomes unresponsive after death, affecting menu navigation.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00079650"
"MC-301135","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general game knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with the intended mechanics of iron golems in the game.","Present","Sufficient","The observed behavior is detailed enough to understand the specific unintended action of iron golems.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which are coherent and aligned with the game's mechanics.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00077595"
"MC-301141","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the setup and actions needed to observe the issue with the carpet on transparent blocks.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup and actions needed to observe the issue with the carpet on transparent blocks.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the carpet should remain on transparent blocks.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, explaining how the carpet fails to stay on certain transparent blocks.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00080520"
"MC-301184","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected observations.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the setup, actions, and expected observations.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that carpets should remain in place when the piston door is activated.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, describing the disappearance of carpets and the inconsistency across different builds.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a well-structured and clear bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00088020"
"MC-301202","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup and actions to observe the intended behavior.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft mechanics, stating that the copper golem should not disrupt villager functions.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug, describing how villager functions are halted.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00082545"
"MC-301221","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup, actions, and observations.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, detailing the necessary setup, actions, and observations.","Present","Accurate","The expected behavior is clearly defined, stating that items should not emit a glow at night, which aligns with Minecraft's rendering mechanics.","Present","Sufficient","The observed behavior is well described, detailing the specific items affected and the incorrect glow effect, allowing for a clear understanding of the issue.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it a comprehensive and actionable bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00080985"
"MC-301234","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the bug, requiring only general Minecraft knowledge.","Present","Accurate","The expected behavior is clearly defined and aligns with Minecraft's intended mechanics regarding player movement and momentum.","Present","Sufficient","The observed behavior is detailed enough to understand the specific outcome of the bug without requiring assumptions.","The report effectively outlines the steps to reproduce the bug, expected behavior, and observed behavior, all of which align with the original issue intent.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00079695"
"MC-301252","Non-Executable","Executable","mismatch","valid_json","The steps provide a clear and actionable path to reproduce the issue of enchanted items not displaying the purple outline.","Not Assessed","Not Applicable","Not Applicable","The steps provide a clear and actionable path to reproduce the issue of enchanted items not displaying the purple outline.","Present","Accurate","The expected behavior is clearly defined, stating that enchanted items should show a distinct purple outline, which aligns with Minecraft's mechanics.","Present","Sufficient","The observed behavior is detailed enough to understand that some enchanted items do not exhibit the expected visual effect, making it clear what the issue is.","The report effectively outlines the steps to reproduce the bug, the expected behavior, and the observed behavior, making it a well-structured bug report.","gpt-4o-mini-2024-07-18","Prompts_Improved_Final_V16_PilotApproved","0.00077220"
