"BUG-ID","S2R Label","S2R Irrep Category","Reason","OB Category","OB Label","Reason_2","EB Category","EB Label","Reason_3"
"MC-300844 Improved","Non-Executable","Missing Information","It should be night otherwise skeleton will be on fire","Present","Insufficient","It should be night","Present","Accurate",""
"MC-300845 Improved","Executable","","","Present","Insufficient","Last 2 sentences are assumptions","Present","Accurate",""
"MC-300874 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300875 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300876 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300902 Improved","Non-Executable","Ambiguous Information","Without inserting a suitable item to the spaces, we cannot fill the text field","Present","Insufficient","LLM misunderstood the main bug report, talking about different issue","Present","Inaccurate","LLM misunderstood the main bug report, talking about different issue"
"MC-300903 Improved","Non-Executable","Ambiguous Information","Chest is on the other side, not a related step","Present","Sufficient","","Present","Accurate",""
"MC-300905 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300925 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300927 Improved","Non-Executable","Wrong Information","should not be bedrock edition","Present","Sufficient","","Present","Accurate",""
"MC-300934 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-300935 Improved","Non-Executable","Ambiguous Information","Above and below phrases are interchangebly","Present","Insufficient","A Redstone Torch on the side of a block cannot power a block that is above it","Present","Inaccurate","A Redstone Torch on the side of a block cannot power a block that is above it"
"MC-300937 Improved","Non-Executable","Wrong Information","To achieve block or leave is not correct. Remove wolf armour with shears to get the achievement.","Present","Sufficient","unable to unlock present concise but does not include misinformation","Present","Inaccurate","Includes miss information present in the S2R"
"MC-300943 Improved","Non-Executable","Missing Information","The Reduced Debug Info feature is a Minecraft plugin and is not included in the base game. This should be mentioned","Present","Sufficient","","Present","Accurate",""
"MC-300957 Improved","Non-Executable","Missing Information","which chunks and how","Present","Sufficient","","Present","Accurate",""
"MC-300998 Improved","Non-Executable","Missing Information","not present","Not Present","","","Not Present","",""
"MC-301045 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301046 Improved","Non-Executable","Missing Information","A third-party software is needed, such as Optifine, which is missing in the installation. Also no menu item in the options like Shaders menu enabling","Present","Sufficient","","Present","Accurate",""
"MC-301052 Improved","Non-Executable","Ambiguous Information","Festive mash-up pack is unknown. need spesifications","Present","Sufficient","","Present","Accurate",""
"MC-301059 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301073 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301076 Improved","Non-Executable","Missing Information","How to make backup is not explained. You should go into folders, etc","Present","Insufficient","Looking to HUD is an assumption can be misleading the developer","Present","Inaccurate","Can not locate the biome by using the command given."
"MC-301106 Improved","Executable","","","Present","Sufficient","","Present","Inaccurate","It should not remain attached"
"MC-301109 Improved","Non-Executable","Ambiguous Information","duplication not provided","Present","Sufficient","","Present","Accurate",""
"MC-301111 Improved","Executable","","Instructions for making a red mushroom are not explicitly stated. The steps include placing dirt down and putting the mushroom in a specific location.","Present","Sufficient","","Present","Inaccurate","Description was incorrect; it is not remedied by breaking the frames. This mechanical issue still exists in this EB as well."
"MC-301117 Improved","Non-Executable","Wrong Information","Steps could not be applied due to the supporting issue in game mechanics","Present","Sufficient","","Present","Inaccurate","no such mechanics exists"
"MC-301131 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301141 Improved","Non-Executable","Wrong Information","the steps are not align with the game mechanics","Present","Insufficient","LLM assumed this issue stems from only certain blocks","Present","Inaccurate","Most transparent blocks (glass, ice, leaves) do NOT support carpet placement at all"
"MC-301170 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301171 Improved","Executable","","","Present","Sufficient","","Present","Inaccurate","You cannot interact with the chest while seated."
"MC-301173 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301176 Improved","Executable","","Single player mode allows LAN access to see friends, but this is a minor step regarding the bug's overall aim.","Present","Sufficient","","Present","Accurate",""
"MC-301183 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301202 Improved","Non-Executable","Wrong Information","he user's bug is about the golem's interaction with a chest's inventory. The AI's S2R is about the golem's interaction with a dropped item entity","Present","Sufficient","","Present","Accurate",""
"MC-301205 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
"MC-301222 Improved","Executable","","","Present","Sufficient","","Present","Accurate",""
