"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description","Steps to Reproduce","Observed Behavior","Expected Behavior","Environment"
"MC-300535","Some entities freeze upon entering this chunk","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When some entities touch this chunk, they freeze instantly and stop receiving damage from effects like fire. Despite this, these entities can be damaged by the player, but just one first time; after that, they stop taking damage. n nProjectiles and thrown items are affected too. Tamed horses don t freeze just if you are on them, but you can t dismount them while being in the chunk. n nIf a mob is killed by explosions from another chunk, the body remains on the floor, not ending the death animation, but turning the mob red and throwing the mob drop. This was tested with a creeper explosion. n nSpecific cases are, for example: n n A zombie burning down doesn t die, and it doesn t start burning if it entered at night. n n n A witch keeps the potion effect that was taking when entering the chunk. n n n Endermen can t teleport; in those cases, the particles are still moving. n n n Arrows don t do damage to the player. n n n A tamed horse stops freezing if it s mounted. n n n Items can t be taken and start popping falling infinitely. n n n Shulkers can t move or open, but their projectiles still move in a straight line and despair at a range. n n n TNT makes the explosion animation but just disappears without making any damage. n n n nWe were playing on a server. The seed where we found it was -9101802231045030160 , at XYZ: 166 100 -270 . When all players exit the world, the bug disappears, making all effects play together. n n","1. Create a new Multiplayer server using the seed -9101802231045030160.
2. Teleport to the coordinates XYZ: 166, 100, -270 to reach the specific chunk where the bug occurs.
3. Enter the chunk from an adjacent chunk with any entity (e.g., a player, zombie, or witch) and observe that the entity freezes immediately upon entry.
4. Attempt to set the frozen entity on fire and note that it does not take damage from the fire.
5. Try to damage the frozen entity with a melee attack and confirm that it can be damaged only once; subsequent attacks do not register damage.
6. Shoot arrows at the frozen entity and verify that they do not inflict damage.
7. Throw items into the chunk and observe that they begin to pop and fall infinitely without being collectible.
8. Summon a tamed horse and enter the chunk while mounted to see that the horse does not freeze but cannot be dismounted.
9. Use a Creeper to create an explosion in an adjacent chunk and observe the mob's body remaining on the ground without completing the death animation.
10. Test the behavior of other entities like a witch, enderman, and shulkers by having them enter the chunk and noting their respective effects (e.g., witches retaining potion effects, endermen being unable to teleport, and shulkers being unable to move or open).
11. Exit the server with all players to confirm that the bug disappears and all effects return to normal when the chunk is no longer loaded.","Upon entering the specified chunk, certain entities experience a freezing effect, which causes them to become motionless and stop receiving damage from environmental effects such as fire. This freezing effect is observed in various entity types, including mobs and projectiles. Notably, while players can inflict damage on these frozen entities once, subsequent attempts to deal damage will not register.

The following behaviors have been documented:

1. **Mob Behavior:**
   - **Zombies:** A zombie that enters the chunk while on fire does not die or continue burning, regardless of time of day.
   - **Witches:** Witches retain any active potion effects they had prior to entering the chunk.
   - **Endermen:** Endermen are unable to teleport when they enter the chunk, although their teleportation particles continue to animate.
   - **Shulkers:** Shulkers become immobile and cannot open, but they can still shoot projectiles that travel in a straight line and disappear after a certain range.
   - **TNT:** TNT appears to detonate visually but does not cause any damage or destruction to the surrounding blocks.

2. **Player and Projectile Interaction:**
   - **Arrows:** Arrows shot at players within the chunk do not inflict any damage.
   - **Items:** Items that fall into the chunk will not be collectible and will continue to drop indefinitely, creating a situation where they appear to ""pop"" endlessly.

3. **Tamed Horses:** 
   - Tamed horses do not freeze if the player is mounted on them. However, players are unable to dismount while in the chunk.

4. **Explosion Behavior:**
   - If a mob is killed by an explosion occurring in an adjacent chunk, the mob's body remains visible and continues the death animation indefinitely, turning red and dropping its items.

This bug was observed on a multiplayer server using the seed -9101802231045030160 at coordinates XYZ: 166, 100, -270. Importantly, when all players exit the world, the freezing effect disappears, allowing all entities to function normally.","When entities enter the affected chunk, they should continue to function normally without freezing or becoming unresponsive. For instance, mobs should take damage from fire and other effects as intended, and players should be able to interact with and damage entities without restrictions. Projectiles and thrown items should behave as expected, dealing damage upon impact. Tamed horses should allow players to dismount freely, regardless of the chunk they are in. If a mob is killed by an explosion, it should complete its death animation and drop items as normal, without remaining in a frozen state. Additionally, entities should not retain any effects or states that would prevent them from functioning properly, such as a witch maintaining a potion effect upon entering the chunk or endermen being unable to teleport. All items should be collectible and should not infinitely pop out of existence. TNT should explode and cause damage to nearby blocks as designed, ensuring that all game mechanics operate consistently within the chunk.","Minecraft Java Edition Version 25w31a (snapshot)"
"MC-300546","Spawning bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In the first wave, pillagers spawned on an island beside the village and were completely passive, and the captain dropped an ominous bottle n n n n","1. Create a new Survival world with default settings.
2. Locate or create a village with at least one villager and one claimed bed.
3. Obtain the Bad Omen effect by killing a raid captain or drinking an Ominous Potion.
4. Enter the village while still affected by the Bad Omen effect to trigger a raid.
5. Observe the first wave of pillagers spawning near the village.
6. Note the location where the pillagers spawn; they should appear on an island adjacent to the village.
7. Check the behavior of the spawned pillagers; they should remain completely passive and not attack.
8. Identify the pillager captain among the spawned pillagers and confirm that it drops an Ominous Bottle upon defeat.","During the first wave of a raid, pillagers spawned on an island adjacent to the village instead of within the village boundaries. Notably, these pillagers exhibited passive behavior, failing to engage with the player or the villagers, which is inconsistent with their typical aggressive nature during a raid. Additionally, the raid captain among them dropped an ominous bottle upon defeat. The drop of the ominous bottle is standard behavior for a raid captain; however, the passive state of the pillagers during the raid contradicts expected mechanics, as they should actively attack players and villagers when a raid is triggered by a player with the Bad Omen effect entering the village. This discrepancy raises concerns regarding the spawning logic and behavioral triggers for pillagers in this specific scenario.","In the first wave of a raid, pillagers should spawn within the designated raid area surrounding the village, displaying their hostile behavior and actively seeking out villagers to attack. The raid captain, which is typically a pillager, should also spawn alongside the other pillagers, equipped with an ominous banner. Upon defeat, this captain should drop an ominous banner and potentially other loot, such as arrows or a crossbow, depending on the game's loot mechanics. The pillagers should not be passive; instead, they should engage in attacking villagers and attempting to break down doors or cause chaos within the village, consistent with the intended behavior of illagers during a raid event.","Minecraft Java Edition Version 1.21.8"
"MC-300574","Zombies","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Zombies stand still on a campfire and freeze up n n","1. Create a new Survival world with default settings.
2. Gather resources to craft a campfire using 3 sticks and 3 pieces of charcoal or wood.
3. Place the campfire on the ground in a flat area.
4. Switch to Creative mode to easily summon zombies.
5. Use the command '/summon minecraft:zombie' to spawn a zombie near the campfire.
6. Observe the zombie as it approaches the campfire.
7. Note that the zombie stands still on the campfire and does not move or take damage. 
8. Wait for a few minutes to confirm that the zombie remains frozen in place on the campfire.","When a zombie comes into contact with a campfire, it exhibits an unexpected behavior where it stands still and becomes unresponsive. This occurs regardless of whether the campfire is lit or extinguished. The zombie does not attempt to move away from the campfire, nor does it engage in any other typical zombie behaviors such as attacking players or pathfinding. 

:
1. Spawn or locate a zombie in a Minecraft world.
2. Place a campfire (either lit or unlit) in proximity to the zombie.
3. Observe the zombie's behavior as it approaches the campfire.

:
Zombies should be able to navigate around campfires, avoiding them as they would with other hazards, such as lava or cacti. Instead, they should either move away from the campfire or continue their pursuit of nearby players or villagers without freezing.

#### Additional Notes:
- This issue appears to affect all variants of zombies.
- The freezing behavior persists until the zombie is either removed from the vicinity of the campfire or the campfire is destroyed.
- This bug does not seem to affect other mobs in the same way; for example, skeletons and creepers do not exhibit this behavior when near a campfire. 

This bug could potentially disrupt gameplay, particularly in survival scenarios where players rely on mob behavior for strategic planning.","When a zombie stands on a campfire, it should take damage from the fire and attempt to move away from it, as zombies are programmed to avoid fire and other sources of damage. The expected behavior is that the zombie would exhibit its normal pathfinding behavior, which includes moving away from harmful blocks like campfires to seek safety or pursue nearby players. If a zombie is unable to move due to being blocked or other environmental factors, it should still attempt to find a way to escape the fire instead of freezing in place. This aligns with the game's mechanics where zombies actively avoid fire damage.","Minecraft Java Edition Version 1.21.8"
"MC-300599","Piston Issue","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","By cloning a flying flying machine some parts of it disappear and get replaced to areas, where you can walk through but can t place anything. You also can t mine in this area. n n","1. Create a new Creative world with default settings.
2. Build a simple flying machine using 2 sticky pistons, 2 slime blocks, and 1 observer.
3. Activate the flying machine to ensure it operates correctly.
4. Once the machine is flying, use the command '/clone' to clone the flying machine.
5. Position the clone command to overlap with the original flying machine's area.
6. Observe the cloned flying machine as it activates and moves.
7. Check the area where the original flying machine was located for any missing parts.
8. Walk through the area where the parts disappeared and note that you cannot place blocks or mine any blocks in that space.","When a player clones a flying machine in Minecraft, certain components of the machine may fail to replicate correctly, resulting in their disappearance. Specifically, parts of the flying machine, such as pistons or slime blocks, may not appear in the cloned structure. Instead, these missing components can be replaced by invisible blocks or areas that players can walk through but cannot interact with. 

In these affected areas, players are unable to place any blocks or mine existing blocks, effectively rendering the space non-functional. This issue creates ""ghost blocks"" that disrupt gameplay, as players may find themselves unable to build or alter the environment as intended. The presence of these unmineable areas can hinder the construction of additional structures or mechanisms, particularly in creative builds where the functionality of flying machines is often relied upon.

This behavior appears to be consistent across different instances of cloning flying machines, indicating a potential bug in the replication process that affects the integrity of the flying machine’s components and the surrounding blocks.","When cloning a flying machine in Minecraft, all components of the machine should be duplicated accurately without any parts disappearing. The cloned flying machine should function identically to the original, allowing players to interact with all blocks within the machine's structure as intended. Players should be able to place and mine blocks in the area where the machine is cloned, and no invisible barriers should prevent interaction with the environment. The game should maintain consistent behavior in handling flying machines, following the established mechanics for block movement and interaction as outlined in the official Minecraft documentation.","Minecraft Java Edition Version 1.21.8"
"MC-300602","Trees growing under water?","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Spotted some trees growing inside of a lake while exploring caves, not much else to really say about it. n n","1. Create a new Survival world with default settings.
2. Explore until you find a cave system that leads to a lake.
3. Enter the cave and navigate towards the lake area.
4. Observe the surroundings carefully for any trees growing directly in or under the water.
5. Note the type of trees present and their exact positioning in relation to the water surface.","Trees are generating underwater in a lake biome, which is not typical for standard tree growth in Minecraft. Normally, trees require solid ground blocks to grow, and their roots should not be submerged in water. The observed trees appear to be fully formed, with their trunks and leaves extending above the water surface, despite being positioned in an aquatic environment. 

This issue contradicts the expected behavior of tree generation, as trees like oak, birch, spruce, and acacia naturally require land blocks to grow. While mangrove trees can be found in water, they specifically generate in muddy mangrove swamps and are grown from propagules, which is not the case here. The occurrence of these trees in the lake suggests a potential bug in the biome generation algorithm or tree growth mechanics, allowing for inappropriate placement of tree structures in aquatic environments. 

**Steps to Reproduce:**
1. Explore cave systems that intersect with lake biomes.
2. Observe the generation of trees within the water body of the lake.

**Expected Behavior:**
Trees should not generate or grow in water bodies unless they are mangrove trees planted from propagules in appropriate biomes.","None","Minecraft Java Edition Version 25w31a (snapshot)"
"MC-300611","zombie piglin mass spawning around nether portal in the overworld","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Game is constantly spawning large numbers of zombie piglin around the nether portal in the over world. Not just one every once in a while, but up to 10 and counting within minutes of game play. closing and reloading world and relaunching the game does not change or help. n n","1. Create a new Survival world with default settings.
2. Locate or build a Nether portal in the Overworld.
3. Light the Nether portal using flint and steel.
4. Stand near the Nether portal for at least 5 minutes without leaving the area.
5. Observe the area around the Nether portal for the spawning of zombified piglins.
6. Note the number of zombified piglins that spawn in a short time period (within 5 minutes).
7. Close and reload the world, then relaunch the game.
8. Repeat steps 2-6 to confirm that the issue persists after reloading the world.","The game is exhibiting an abnormal spawning rate of zombified piglins around the nether portal located in the Overworld. Instead of the expected low frequency of 1 zombified piglin every few minutes, players are observing the spawning of multiple zombified piglins—up to 10 or more—within just a few minutes of gameplay. This behavior persists regardless of player actions, such as closing and reloading the world or relaunching the game, indicating that it is not a transient issue but rather a consistent bug. 

Zombified piglins are spawning directly adjacent to the nether portal, which contradicts the typical spawning mechanics where they should appear at a much lower rate. According to the standard spawning rules, zombified piglins should only spawn at a rate of 1 in 2000 (0.05%) on Easy, 1 in 1000 (0.1%) on Normal, and 3 in 2000 (0.15%) on Hard difficulty when a nether portal receives a random tick. This excessive spawning frequency suggests that there may be a malfunction in the spawning algorithm or an unintended interaction with the nether portal mechanics, leading to the abnormal behavior observed by players.

Additionally, it is important to note that this issue occurs independently of the mob cap, similar to the spawning behavior of phantoms, meaning that the presence of other hostile mobs does not influence the spawning of zombified piglins. This unexpected behavior may have implications for gameplay balance, as it can lead to unmanageable numbers of zombified piglins in the Overworld, potentially overwhelming players and affecting their experience.","When a player activates a Nether portal in the Overworld, it should only spawn zombified piglins at a very low rate, specifically a chance of 1 in 2000 on Easy, 1 in 1000 on Normal, and 3 in 2000 on Hard. This means that players should expect to see a maximum of one zombified piglin occasionally appearing near the portal, rather than the large numbers currently observed. The game should ensure that the spawning of zombified piglins adheres to the established mechanics, which dictate that they should not spawn en masse and should respect the game's mob cap. Additionally, the spawned zombified piglins should have a 15-second cooldown before they can enter the Nether again, preventing excessive spawning from the same portal. Overall, the expected behavior is that players should only see sporadic and controlled appearances of zombified piglins around Nether portals in the Overworld.","Minecraft Java Edition Versions: 1.21.8, 25w31a (includes snapshots)"
"MC-300612","mobs floating instead of walking","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Mobs are floating over blocks instead of jumping and walking. When attacking mobs, they don t jump back, they float backwards, almost glitching across the screen. As if the mobs themselves are lagging in game, but the game isn t lagging. Relaunching game does not help. n n","1. Create a new Survival world with default settings.
2. Locate an area with multiple mobs, such as a forest or a plains biome.
3. Ensure that there are no significant lag issues by checking your FPS (frames per second).
4. Approach a mob, such as a zombie or skeleton, and initiate an attack by hitting it.
5. Observe the mob's movement after being attacked; note if it floats backwards instead of jumping back or walking.
6. Repeat the attack on different types of mobs (e.g., creepers, spiders) to confirm the behavior is consistent across various mob types.
7. Test the behavior in different locations (e.g., on grass, dirt, or stone blocks) to see if the floating behavior persists regardless of the terrain.
8. Relaunch the game and repeat steps 4-7 to verify that the issue remains unaffected by restarting the game.","Mobs exhibit abnormal movement patterns where they appear to float above the ground instead of walking or jumping as intended. Specifically, when a player interacts with or attacks these mobs, they do not respond with normal knockback behavior—rather than jumping back, they float backward in a manner that resembles a glitch. This floating motion lacks the typical physics associated with mob movement, making it seem as though the mobs are lagging in their animations, despite the overall game performance remaining stable. 

This issue affects various mob types, including both passive and hostile entities, and occurs regardless of the environment or block types present. The floating behavior persists even after restarting the game, indicating that it is not a temporary glitch but a consistent problem across sessions. 

**Reproduction Steps:**
1. Spawn or encounter any mob in the game (e.g., zombie, skeleton, cow).
2. Approach the mob and initiate an attack.
3. Observe the mob's movement; it should float backward instead of jumping or walking away.

**Expected Behavior:**
Mobs should properly execute their walking and jumping animations in response to player interactions, maintaining realistic movement physics that reflect their behavior in the game.","Mobs should exhibit normal movement behavior, walking and jumping over blocks as intended. When a player attacks a mob, the mob should respond by performing a knockback action, which includes jumping back or moving away from the player in a realistic manner. This behavior is consistent with the game's mechanics, where mobs are designed to react to player actions by fleeing or repositioning themselves rather than floating or glitching. Mobs should also maintain their pathfinding abilities, navigating around obstacles and interacting with the environment as expected without any erratic movements. If the game is functioning correctly, no floating or unnatural movement should occur, ensuring a smooth gameplay experience.","Minecraft Java Edition Versions: 1.21.8, 25w31a (includes snapshots)"
"MC-300614","not able to eat food in main hand","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When holding food in the main right hand, the eating particles and noises are produced, but the food is not being consumed. The hunger bar doesn t fill, the food is just endlessly being eaten (until stopping the right click), and stack number of the food does not decrease. Relaunching doesn t help. n n","1. Create a new Survival world with default settings.
2. Ensure your hunger bar is not full (e.g., take damage or run around to deplete hunger).
3. Obtain a food item (e.g., Cooked Porkchop) and place it in your main hand.
4. Hold the right mouse button to attempt to eat the food.
5. Observe that eating particles and sounds are produced, but the food is not consumed, the hunger bar does not fill, and the stack number of the food remains unchanged.
6. Continue holding the right mouse button until you decide to stop.
7. Relaunch the game and repeat steps 3 to 5 to confirm the issue persists.","When the player holds a food item in their main hand (right hand), the expected behavior is that the food item will be consumed after a brief eating animation, which takes approximately 1.61 seconds for most food items. However, in this bug scenario, the following issues occur:

1. **Visual and Audio Feedback:** The player experiences the usual visual effects, such as eating particles appearing around the player, and the associated munching sound is played, indicating that the game recognizes the eating action.

2. **No Hunger Restoration:** Despite the visual and audio cues, the hunger bar does not increase. The player remains at the same hunger level, as no hunger points are restored during this process.

3. **Infinite Eating Animation:** The food item appears to be continuously consumed as long as the right mouse button is held down. The player can keep right-clicking without interruption, leading to an endless eating animation.

4. **Stack Count Unchanged:** The quantity of the food item in the player's inventory remains unchanged; the stack count does not decrease, indicating that the food is not actually being consumed or removed from the player's inventory.

5. **No Resolution through Relaunching:** Restarting the game does not resolve the issue. The bug persists even after the player relaunches the game, indicating that it is not a temporary glitch but rather a consistent malfunction.

This behavior disrupts gameplay by preventing players from regaining hunger, which is essential for survival mechanics in Minecraft.","When holding food in the main hand and right-clicking to eat, the player should see the correct eating animation and hear the associated munching sound, while the food item should be consumed. The hunger bar should increase according to the food item's nourishment value, and the stack size of the food item should decrease by one. If the player continues to right-click, the eating action should stop once the food is fully consumed, and the player should be able to eat again once the hunger bar is not full. Additionally, the game should not exhibit any glitches, such as the food item being endlessly consumed without effect. This behavior aligns with the intended mechanics of food consumption in Minecraft, where players can restore their hunger and saturation by eating food items from their main hand.","Minecraft Java Edition Versions: 1.21.8, 25w31a (includes snapshots)"
"MC-300618","Minecraft has another glitch","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Near Broken, Full Durability Tools n n On 5 8 25 I went into my Hermitcraft season 9 wold And My netherite tools had their Durability bars looking like they were going to break n nwith another use, I m certain that I rarely used them, on my previous play session. I thought The game was just having a moment, so i tried repairing n nthem to full Durability, I checked my old armor and tools that had been used and they had the durability glitch. sorry for bothering you and thank you for n nmaking a game as great Minecraft Congrats and Thank you for taking your time to read this report. n n n n","1. Launch Minecraft and open your Hermitcraft Season 9 world.
2. Ensure you have at least one netherite tool (e.g., netherite pickaxe, axe, or shovel) in your inventory that has been used minimally.
3. Check the durability bar of the netherite tool in your inventory to confirm it appears close to breaking, despite low usage.
4. Attempt to repair the tool by combining it with another netherite item or using an anvil with netherite ingots.
5. After repairing, check the durability bar again to see if it still shows as near broken.
6. Repeat steps 2 to 5 with other netherite tools and armor pieces to verify if they also exhibit the same durability glitch.","On May 8, 2025, while playing in my Hermitcraft Season 9 world, I observed a significant issue with my netherite tools. Despite having rarely used them in the previous session, their durability bars appeared as if they were nearly broken, indicating they would fail after just one more use. This anomaly suggested that the durability display was incorrect, as the tools should have had full durability.

In an attempt to resolve this, I tried repairing the tools to restore them to full durability using the crafting grid. However, upon checking my other tools and armor, I found that they too exhibited the same durability glitch, showing diminished durability despite having been used sparingly. 

This inconsistency in the durability display could potentially mislead players into thinking their tools are close to breaking when they are not, which could affect gameplay decisions regarding tool usage and repairs. 

Thank you for your attention to this matter, and I appreciate the continued efforts to improve Minecraft.","When using netherite tools in Minecraft, the durability bar should accurately reflect the remaining uses based on the number of blocks broken or mobs hit. If a tool has been rarely used, its durability bar should display a high value, indicating that it is in good condition. Upon repairing a tool at an anvil or crafting grid, the durability should restore to its maximum level, and the durability bar should visually represent this change correctly. The expected behavior is that there should be no discrepancies in the durability display, and tools should not appear near breaking unless they have indeed been used extensively. Additionally, all tools should maintain their durability values correctly across different play sessions without displaying glitches or inaccuracies.","Minecraft Java Edition Version 1.21.8"
"MC-300647","Cant do torch anymore","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Cant do torch n n","1. Create a new Survival world with default settings.
2. Gather materials to craft torches by collecting at least one stick and one piece of coal or charcoal.
3. Open the crafting table interface.
4. Place the stick and coal/charcoal in the crafting grid to create four torches.
5. Select the torches from your inventory.
6. Attempt to place a torch on a solid block, such as dirt or stone.
7. Observe if the torch can be placed successfully.
8. Repeat steps 6 and 7 in different locations, such as on walls, floors, and ceilings, to confirm the inability to place torches.","The player is unable to place torches in the game. When attempting to place a torch on a solid block, the action does not register, and the torch item remains in the player's inventory. This issue occurs regardless of the type of block the player is trying to place the torch on, including common blocks such as dirt, stone, and wood. 

Additionally, the player has verified that they have the necessary materials to craft torches (sticks and coal/charcoal) and that their inventory is not full. The inability to place torches prevents the player from illuminating dark areas, which is essential for both navigation and monster prevention in Minecraft. 

This bug has been consistently reproducible in various game sessions and affects both single-player and multiplayer modes. The player has confirmed that this issue persists across different worlds and has attempted to restart the game and clear the cache, but the problem remains unresolved. 

**Steps to Reproduce:**
1. Ensure you have torches in your inventory.
2. Approach a solid block (e.g., dirt, stone, wood).
3. Attempt to place the torch by right-clicking on the block.
4. Observe that the torch does not place and remains in the inventory.

**Expected Behavior:**
The torch should be successfully placed on the solid block, emitting light and allowing the player to illuminate their surroundings.","When attempting to place a torch, the player should be able to successfully place it on the top or sides of most solid blocks, provided there is sufficient space and the block type allows for torch placement. The torch should emit light at a level of 14, illuminating the surrounding area to prevent hostile mob spawning and assist with navigation in dark environments. Additionally, if the player has the necessary materials (one stick and one coal or charcoal), they should be able to craft torches at any crafting table or their personal crafting grid. If a torch is placed and subsequently broken, it should drop as an item for the player to pick up and reuse. This behavior aligns with the established mechanics of torches in Minecraft, as detailed in official game resources.","Minecraft Java Edition Version 1.21.8"
"MC-300649","Resource pack overlays not working on Linux macOS","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Steps to reproduce the issue: n n1. Create a resource pack with overlays n n n2. Activate the resource pack n n n n Expected result: Resource pack overlays also getting applied on Linux macOS n n Actual result: Resource pack overlays not getting applied. n n","1. Create a new folder on your desktop and name it ""Test_Resource_Pack"".
2. Inside the ""Test_Resource_Pack"" folder, create a file named ""pack.mcmeta"" with the following content:
   {
     ""pack"": {
       ""pack_format"": 6,
       ""description"": ""Test Resource Pack""
     }
   }
3. Create a subfolder inside ""Test_Resource_Pack"" named ""assets"".
4. Inside the ""assets"" folder, create another folder named ""minecraft"".
5. Inside the ""minecraft"" folder, create a folder named ""textures"".
6. Within the ""textures"" folder, create a subfolder named ""blocks"".
7. Add a texture file (e.g., ""test_block.png"") to the ""blocks"" folder.
8. Create an overlay texture file (e.g., ""test_block_overlay.png"") and place it in the ""blocks"" folder as well.
9. Ensure that the overlay texture is correctly referenced in the ""test_block.png"" file using the appropriate JSON model.
10. Compress the ""Test_Resource_Pack"" folder into a .zip file.
11. Open Minecraft on your Linux or macOS system.
12. From the main menu, click on ""Options"", then select ""Resource Packs"".
13. Click on ""Open Resource Pack Folder"" to access the resource packs directory.
14. Paste the .zip file of your resource pack into the opened resource pack directory.
15. Return to Minecraft, and in the ""Resource Packs"" menu, find your resource pack in the list on the left and click the arrow to move it to the ""Active"" list.
16. Click ""Done"" to apply the resource pack.
17. Create a new Creative world or open an existing one.
18. Place a block that corresponds to the texture you created (e.g., ""test_block"").
19. Observe whether the overlay texture (e.g., ""test_block_overlay"") is applied to the block as expected.","When a resource pack containing overlays is created and activated on Linux or macOS, the overlays do not apply as expected. Specifically, the following issues have been observed:

1. **Overlay Visibility**: The expected visual changes from the overlays are absent in-game. For example, if the resource pack includes a custom overlay for blocks or items, these overlays remain unchanged, displaying the default textures instead.

2. **Pack Structure Verification**: The resource pack structure adheres to the required format, including the `pack.mcmeta` file and the appropriate asset folders. The overlays are correctly placed within the `assets/minecraft/textures/` directory, and the relevant JSON files are correctly configured to reference these textures.

3. **Resource Pack Loading**: The resource pack is successfully loaded and appears in the resource pack menu. Players can activate it without any error messages, yet the overlays still do not render during gameplay.

4. **Testing with Different Packs**: Multiple resource packs with overlays have been tested, and the issue persists across different packs, indicating a potential systemic issue with how overlays are processed on Linux and macOS systems.

5. **Console Errors**: No relevant error messages or warnings are displayed in the console logs when the resource pack is activated, suggesting that the game does not recognize any problem with the resource pack itself.

This behavior contradicts the expected functionality, where overlays should be applied consistently across all platforms, including Linux and macOS.","When a resource pack with overlays is created and activated on Linux or macOS, the overlays should be applied correctly to the respective blocks or items as intended by the resource pack design. The game should seamlessly render the overlays on top of the base textures, allowing players to see the visual enhancements without any issues. This behavior aligns with Minecraft's established functionality, where resource packs are designed to modify textures and provide a customized visual experience. The overlays should appear consistently across all relevant game elements, ensuring that players can enjoy the full aesthetic benefits of their resource pack on these operating systems.","Minecraft Java Edition Version 1.21.8"
"MC-300659","Perder la compra de Minecraft: Java Bedrock Edition for PC","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Ya no puedo descargar el iniciador n n","1. Ensure you have a valid Microsoft account that previously purchased Minecraft: Java & Bedrock Edition for PC.
2. Open the Minecraft Launcher on your PC.
3. Attempt to log in using your Microsoft account credentials.
4. Once logged in, check the ""Games"" tab to see if Minecraft: Java & Bedrock Edition is listed under your owned games.
5. If not listed, navigate to the ""Store"" tab within the launcher.
6. Search for ""Minecraft: Java & Bedrock Edition"" in the store.
7. Attempt to download the game from the store; note if you receive any error messages or if the download fails.
8. If the game is not available for download, try accessing the Microsoft Store directly and searching for ""Minecraft: Java & Bedrock Edition"" there.
9. Check your purchase history in your Microsoft account settings to confirm the purchase of the game.
10. If the game is still inaccessible, attempt to reinstall the Minecraft Launcher and repeat the previous steps.","After purchasing Minecraft: Java & Bedrock Edition for PC, users are unable to download the Minecraft Launcher. When attempting to launch the game, the following issues occur:

1. **Missing Launcher:** The user is unable to locate or download the Minecraft Launcher from the official website or Microsoft Store, despite having an active purchase associated with their Microsoft account.

2. **Error Messages:** Upon attempting to access the game, the user receives an error message indicating that the game is not available for download. This may include prompts such as ""Game Not Found"" or ""You do not own this game.""

3. **Account Issues:** The user has verified that they are logged into the correct Microsoft account that holds the purchase, yet the launcher still fails to recognize the ownership of the game.

4. **Inability to Access Content:** Without the launcher, the user cannot access any content related to Minecraft, including single-player worlds, multiplayer servers, or updates, effectively locking them out of their purchased game.

5. **No Previous Installation:** The user confirms that there was no prior installation of the launcher on their device, which rules out issues related to corrupted files or outdated versions of the launcher.

This behavior is critical as it prevents legitimate players from accessing the game they have purchased, leading to frustration and dissatisfaction with the service.","When a user has purchased Minecraft: Java & Bedrock Edition for PC, they should be able to download and install the Minecraft Launcher without any issues. Upon launching the Minecraft Launcher, the user should see the option to play the game associated with their account, allowing them to access both the Java and Bedrock editions. If the user encounters any problems, the launcher should provide clear instructions on how to troubleshoot the issue, including steps to verify their purchase and account status. In the event of a missing launcher, the user should be able to re-download it from the official Minecraft website or the Microsoft Store, ensuring they can access their purchased content seamlessly.","Minecraft Java Edition Version 25w32a (snapshot)"
