"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-300497","Ican not play the game if I use the Intel Driver","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Ican not play the game if I use the Intel Driver\n\n"
"MC-300519","Eyes of Ender locate to the Nearest Mineshaft instead of Stronghold","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","The eyes on ender locate to the nearst Mineshaft instead of the typical stronghold on some specific seeds/environment (i didnt check sadly)\n\n"
"MC-300524","A bug where hostile mobs don't spawn in Realms.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Hostile mobs do not spawn, or spawn very rarely, even at night. Changing the game difficulty to reset mob spawning doesn't help. The issue doesn't occur before the chunk is loaded, but once the chunk has been loaded, hostile mobs stop spawning completely.\n\n"
"MC-300526","After unpausing, Minecraft keeps fluctuating between 5 and 30 FPS and doesn't return to normal.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I left the game paused for a while, and when I came back, the FPS was much lower and wouldn’t return to normal. This isn’t the first time it has happened in this snapshot.\n\n"
"MC-300529","Line divides the screen","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Every time I wake up from sleeping in bed, there is a line in the middle of the screen similar to a beacon. If I move, it disappears.\n\n"
"MC-300535","Some entities freeze upon entering this chunk","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When some entities touch this chunk, they freeze instantly and stop receiving damage from effects like fire. Despite this, these entities can be damaged by the player, but just one first time; after that, they stop taking damage.\n\nProjectiles and thrown items are affected too. Tamed horses don’t freeze just if you are on them, but you can’t dismount them while being in the chunk.\n\nIf a mob is killed by explosions from another chunk, the body remains on the floor, not ending the death animation, but turning the mob red and throwing the mob drop. This was tested with a creeper explosion.\n\nSpecific cases are, for example:\n\n* A zombie burning down doesn’t die, and it doesn’t start burning if it entered at night.\n\n\n* A witch keeps the potion effect that was taking when entering the chunk.\n\n\n* Endermen can’t teleport; in those cases, the particles are still moving.\n\n\n* Arrows don’t do damage to the player.\n\n\n* A tamed horse stops freezing if it’s mounted.\n\n\n* Items can’t be taken and start popping/falling infinitely.\n\n\n* Shulkers can’t move or open, but their projectiles still move in a straight line and despair at a range.\n\n\n* TNT makes the explosion animation but just disappears without making any damage.\n\n\n\nWe were playing on a server. The seed where we found it was `-9101802231045030160`, at XYZ: `166`/`100`/`-270`. When all players exit the world, the bug disappears, making all effects play together.\n\n"
"MC-300546","Spawning bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In the first wave, pillagers spawned on an island beside the village and were completely passive, and the captain dropped an ominous bottle\n\n\n\n"
"MC-300574","Zombies","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Zombies stand still on a campfire and freeze up \n\n"
"MC-300599","Piston Issue","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","By cloning a flying flying machine some parts of it disappear and get replaced to areas, where you can walk through but can't place anything. You also can't mine in this area. \n\n"
"MC-300602","Trees growing under water?","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Spotted some trees growing inside of a lake while exploring caves, not much else to really say about it.\n\n"
"MC-300611","zombie piglin mass spawning around nether portal in the overworld","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Game is constantly spawning large numbers of zombie piglin around  the nether portal in the over world. Not just one every once in a while, but up to 10 and counting within minutes of game play. closing and reloading world and relaunching the game does not change or help.\n\n"
"MC-300612","mobs floating instead of walking","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Mobs are floating over blocks instead of jumping and walking. When attacking mobs, they don't jump back, they float backwards, almost glitching across the screen. As if the mobs themselves are lagging in game, but the game isn't lagging. Relaunching game does not help.\n\n"
"MC-300614","not able to eat food in main hand","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When holding food in the main right hand, the eating particles and noises are produced, but the food is not being consumed. The hunger bar doesn’t fill, the food is just endlessly being eaten (until stopping the right click), and stack number of the food does not decrease. Relaunching doesn’t help.\n\n"
"MC-300618","Minecraft has another glitch","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","## Near Broken, Full Durability Tools\n\n#### On 5/8/25 I went into my Hermitcraft season 9 wold And My netherite tools had their Durability bars looking like they were going to break\n\nwith another use, I'm certain that I rarely used them, on my previous play session. I thought The game was just having a moment, so i tried repairing\n\nthem to full  Durability, I checked my old armor and tools that had been used and they had the durability glitch. sorry for bothering you and thank you for  \n\nmaking a game as great  Minecraft Congrats and Thank you for taking your time to read this report. \n\n\n\n"
"MC-300647","Cant do torch anymore","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Cant do torch\n\n"
"MC-300649","Resource pack overlays not working on Linux / macOS","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","**Steps to reproduce the issue:**\n\n1. Create a resource pack with overlays\n\n\n2. Activate the resource pack\n\n\n\n**Expected result:**Resource pack overlays also getting applied on Linux / macOS\n\n**Actual result:**Resource pack overlays not getting applied.\n\n"
"MC-300659","Perder la compra de Minecraft: Java & Bedrock Edition for PC","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Ya no puedo descargar el iniciador \n\n"
"MC-300683","Clicking on text-bearing blocks within any UI except the inventory results in a game crash.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Clicking on text-bearing blocks (e.g., signs) within any UI except the inventory triggers a game crash.\n\n"
"MC-300715","block glitch","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i saw ender dragon head like this… so i retarted game and i still looked like this so just sayin\n\n"
"MC-300731","The Minecraft: Java Edition program flashes when I am inactive just in the main menu","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","The main menu should remain stable and not flash or flicker.\n\nThe program begins flashing intermittently when inactive on the main menu. This behavior is distracting and may indicate a rendering or UI issue.\n\nPlease investigate and fix this issue. It affects the user experience even before gameplay begins and could be related to how the menu screen handles idle states or graphics rendering. A stable main menu is important for accessibility and usability.\n\n"
"MC-300736","Skeleton Bow Visual Glitch","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Skeleton bow isnt upright it stays down even while shooting\n\n"
"MC-300760","Realms list isn't sorted","Bug","1.21.8","None","Plausible","UI","Cannot Reproduce","None","The bug with the Realms list is completely messed up, before I had active Realms on top, and inactive ones on the bottom, I don’t know why exactly this happened, but I want to say that it happened after me removed from one Realms and after returned Honey Missile Wars, Bleps: Nocked and Loaded, Duel TNT, and Biome Run Remix\n\n"
"MC-300761","Windows HDR auto close","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When I start the game, the HDR function of the Windows system well automatically turned off.\n\n\n\n"
"MC-300789","Floating Vines","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","In a jungle I found floating vines without any trees there\n\n"
"MC-300792","Bug with camera","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Today i hold shift and D keybind and my camera started shocking up down i don’t know what it that but it’s a bug\n\n"
"MC-300793","Stopped gaining expeirience","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I died exploring an end city after defeating the ender dragon and havent leveled up since. ive killed plenty of mobs idk whats going on\n\n\n\n"
"MC-300807","'weathering_copper_trap_door' block type ID is inconsistent with 'trapdoor' block type ID and block names","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Generally, block type IDs seem to be accurate to their respective blocks' names; however, `weathering_copper_trap_door` is one case where this is not true. The block type registry is exposed in the blocks' data generator report, meaning this behavior is observable with the vanilla Minecraft server JAR. \n\n**Steps to reproduce**\n\n1. Run the data generator\n\n\n2. Search for `weathering_copper_trap_door` in the output, observing that it exists\n\n\n3. Search for `trapdoor` in the output, observing that it also exists\n\n\n\n**Expected result**\n\nThe block type ID shown would be `weathering_copper_trapdoor`.\n\n**Actual result**\n\nThe block type ID shown is `weathering_copper_trap_door`.\n\n\n\nThe output can also be viewed here:  \n\n"
"MC-300815","Want to the green book to craft Soul Lanterns but it did nothing","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","I want to the green book in the crafting table and click on the Soul Lantern. and it didn’t show up how to make the Soul Lantern.\n\n"
"MC-300843","Locator bar glitching on a happy ghast","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","when you sit beside a person on a happy ghast the locator bar icon for that player is glitching like he is teleporting from one place to another \n\n"
"MC-300844","Skeleton bug","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Skeleton’s bow is floating under its hand,not in hand\n\n"
"MC-300845","crashing","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i opined minecraft but fore some reason it was stuck on the loading screen and the only way that i could fix this is restart my pc ore alt + F4\n\n"
"MC-300874","Mob behaviour bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Neutral/Hostile mobs that have a permanent target sometimes briefly turn to another mob that attacks them. This happens often when the player has a tamed wolf and the player punches a mob, and when the wolf attacks it, it turns to look at the wolf for about 0.3 seconds.\n\n"
"MC-300875","Mob bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Breaking a gold-related block does not aggravate Piglin Brutes.\n\n"
"MC-300876","World gen can be different for the same seed.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Trees can be in different locations/different shapes when using the same seed more than once. Strongholds sometimes get overridden by caves, and sometimes not in the same seed. In general, structures/features that collide can be different on every seed except for trees which are just different for some reason.\n\n\n\n"
"MC-300902","Anvil GUI: Title text rendering priority incorrectly higher than input field text","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When replacing the default anvil title texture with a custom image (by modifying the title name), the new texture renders **above** the input text field, obscuring typed text.\n\n\n\n"
"MC-300903","Item sorting broken with Copper golem in underground warehouse setup.","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In Snapshot 25w32a, I encountered a consistent issue with the Copper Golem's item sorting behavior. The golem fails to deposit items into chests that already contain the same item, even when those chests are not full.\n\nFor example, I placed diamonds into a regular chest. Later, I added more diamonds into a Copper Chest. Instead of depositing them into the original chest (which still had space and already contained diamonds), the golem chose a different chest — sometimes even one containing unrelated items like copper.\n\nMy storage system includes two separate underground warehouses, each with 10 chests (5 on the left, 5 on the right). Each warehouse has its own Copper Golem, so there's no overload. All chests are on the same level, with plenty of space above them. The only visual indicator I used was a single item frame on one chest, but the golem ignored it.\n\nThe issue occurs every time I attempt to sort items. The golem seems to forget which chests it has already used and does not consistently check all 10 available chests. This behavior makes the sorting system unreliable and breaks the intended functionality.\n\nPlease investigate this bug — it significantly affects gameplay and automation.\n\n"
"MC-300905","hopper bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Before reading it.\n\nI am not a native English speaker, so my English is not good.\n\n\n\n\n\nBug:\n\nHopper can pass some items  to next hopper.\n\nbut in this procedure, the item in bug hopper is gone.\n\nFix: destroy the  bug hopper and fill again the same location.\n\n\n\n *I don’t know how to generate this bug, and I think this bug is very rare to happen\n\nbut if it happen, when you put some important items in the hopper your important item may be gone.\n\n\n\n"
"MC-300925","Copper golems refuse to open chests being viewed by a player in Spectator mode","Bug","25w32a","None","Community Consensus","Mob behaviour","Cannot Reproduce","None","Steps to reproduce:\n\n1. Set up any environment where a copper golem would open a copper chest.\n\n\n2. Enter spectator mode and click on the copper chest to view it’s contents.\n\n\n\nExpected Behavior:\n\n1. In the circumstance that a player is in spectator mode, players should not be able to make any noticable changes to the world.\n\n\n2. The copper golem should be able to interact with the copper chest as if no player is currently opening it.\n\n\n\nWhat happens:\n\n1. The copper golem will refuse to open the copper chest, allowing players in spectator mode to break or interrupt contraptions that use copper golems.\n\n\n\nThis bug makes it annoying to debug and analyze the speed of copper golem contraptions when using spectator mode.\n\n"
"MC-300927","After opening to the local area network, unable to interact with items, unable to switch modes, getting stuck on the save screen when exiting the game.","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","After opening to the local area network, unable to interact with items, unable to switch modes, getting stuck on the save screen when exiting the game.\n\n"
"MC-300934","Hello, i joined a friends aternos and then i changed my minecraft name, it restarted my game","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i joined a friends aternos and then i changed my minecraft name, i joined it later on and got restarted, items and all. i got respawned at the world spawn point and had to try and get my loot back but failed. i don't know what to do?\n\n"
"MC-300935","The launcher or thrower detects the redstone torch incorrectly","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Place a redstone torch attached to a block on the side directly above the thrower or launcher, and when the attached block receives a pulse signalThe redstone torch also began to flicker, but the projector or launcher below did not throw the projectile\n\n[brick]<- [Redstone Torch]\n\n                [transmitter]\n\n"
"MC-300937","Sheer Brilliance Not Unlocking","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When trying to unlock Sheer Brilliance Achievement, with all steps necessary taken, I have not been able to unlock the achievement. My friend who is playing on the same server is also having the same issue, as well as other achievements. \n\n"
"MC-300943","I can't switch ""Redused Debug Info"" off","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When I Turn ""Redused Debug Info"" off, Debug Info is still Reduced and I can't switch it off\n\n"
"MC-300957","Game frozen nothing responding","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","My World is frozen chunks not loading some chunks with blocks invisible\n\n"
"MC-300998",".","Bug","25w33a","None","Unconfirmed","(Unassigned)","Incomplete","None",".\n\n"
"MC-301045","Intel core related bugs still occur on servers with resource/texture packs enabled.","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","**Bugs -**  and probably MC-296908 still occur on 1.21.8 if server has resource packs enabled. \n\nSometimes textures flicker with black lines or their animations are interrupted. This is easily noticed on magma blocks, lava, and water.\n\nGame screen freezing and crashes also occur as before.\n\n## How to get\n\nJoin java multiplayer server with resource/texture pack enabled on device with intel core graphic, wait a while and you should notice glitches. Sometimes, spotting them can be less frequent and seems to depend on the server.\n\n## Note:\n\nThese bugs didn't seem to exist on version 1.21.8 for a while, but they've been around for a few days or weeks (I can't quite pinpoint it). They don't seem to occur on servers without resource/texture packs enabled or in singleplayer worlds.Also the bugs seem to be much weaker than on versions before intel core graphic fixes\n\n"
"MC-301046","Shader rendertype_entity_translucent_emissive could not find sampler named Sampler2 in the specified shader program.","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","This is an ongoing bug with 1.21.x, in my case 1.21.1.  Errors are as thus upon server startup. \n\n\n\n```\n[11Aug2025 19:12:23.980] [Render thread/WARN] [net.minecraft.client.renderer.ShaderInstance/]: Shader rendertype_entity_translucent_emissive could not find sampler named Sampler2 in the specified shader program.\n```\n\n\n\n"
"MC-301052","Festive mashup pack problem","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","​I was playing a festive mashup pack and it showed up wrong. I saw the rain falling in very small and not clear snow I just want to make the rain rain clearly or with big snow and tysm❤️\n\n"
"MC-301059","torches are disappearing in tunnels","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I placed torches in a tunnel leading to a cave but all of them dissapeared meanwhile the one that where placed inside the actual cave didnt. It was vanilla minecraft. I also used stairs in my tunnel. \n\n\n\n"
"MC-301073","Iron Golem Rage when using a lead on a bot with villager leaded to an happy ghast","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you have a boat with 1/2 villagers and you use the lead on the boat, the boat will fall on the ground and even if the villagers won’t get any damage, if there is an iron golem nearby he will be triggered and will charge you\n\n"
"MC-301076","after using backup i cant see days or biomes","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i took in use my backup  and now i cant see days or on what biome i am on\n\n"
"MC-301106","If the copper golem turns into a statue while leashed by player, the lead will disappear","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If the copper golem turns into a statue while leashed by player, the lead will disappear\n\n"
"MC-301109","Duplicate items","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you put item in chest then having so much item on ground that cause the lag then shut down the app and log again the item you put in chest and your inventory still remain i found this bug in 1.21.5 \n\n"
"MC-301111","End Portal Frame not being broken","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","when you break an end portal the portal doesnt get destroyed, how it normally would be like. This too effects the trick where you break the frames using a red mushroom\n\n"
"MC-301117","Some items placed on a copper golems head are glitched","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","#### Lastly when i was messing with commands, i discovered that some of the new items doesnt apply correctly on Copper Golems\n\n\n\nHere’s a list woth test subjects\n\n**List of the items/Mobs**\n\n**Copper Golem**\n\n**Skeleton**\n\n**Zombie**\n\nOak Shelf (or any type)\n\nApply upwards the head\n\nApply at the back of the head\n\nApply at the back of the head\n\nLightning rod (any type)\n\nApply updwards the head\n\nEaster Egg applied\n\nEaster Egg applied\n\n"
"MC-301131","spiders float","Bug","25w34a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","spiders float in jungle and planes biomes in java\n\n"
"MC-301141","Carpet does not stay with the transparent wall circuit!","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","The error that the carpet does not stay on the ground, with the transparent wall circuit, does not occur everywhere! Some circuits work, only the following ones have the error!\n\n"
"MC-301170","3 Enderman is attacking me for no reason","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","I don’t know it’s a easter egg or not when ı am in the end random 3 enderman is starting to attack me \n\nI don’t look their eyes \n\n"
"MC-301171","chest boat GUI opens on entering a boat","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you hold right click while entering a boat with chest it’ll open the chest GUI after placing the player in the boat. Double right clicking can have the same effect, but if there’s enough of a delay between right clicks it does NOT open the GUI making this feel like unintentional behavior \n\n\n\n"
"MC-301173","If You Break a block above you and Press Q it'll dupe the item your holding","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","If you break a block above you, Press Q and drop the item your holding at a certain time frame it’ll drop your item while a duped one stays in your hand and if you switch to an empty hot bar slot you can pick it up (if you pick it up with the duped item in your hand it’ll disappear) I'm not sure about the timing for pressing Q but after a while something caused my duped Netherite pickaxe to disappear \n\n\n\n"
"MC-301176","My skin dont work but my friends can see it","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Hello, my skin dont show but im stuck in the zuri skin, i cant even change with the default skins.\n\nMy friends can see my skin but i cant.\n\nI dont have any problems and i dont have any antivirus installed\n\n"
"MC-301183","Happy Ghasts won't stay on leads","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Every time I put my Happy Ghasts on leads they break free, or if I tie them to a post they'll break free of the lead that way\n\n"
"MC-301202","Copper Golem Froze My game","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","All the villager function are currently stopped since my copper golem froze on an item.\n\n\n\nWhen I say stopped, they are moving, sleeping, going on their work block, but i’m talking about secondary function, they don’t breed and iron golem doesn’t spawn anymore.\n\n\n\nI killed the copper golem, it didn’t change. I restarted all the farm, nothing changed.\n\n\n\nCopper golem froze on sugar cane, it was already in a chest, golem wasn’t checking other chest and freezing on it.\n\n\n\n\n\n"
"MC-301205","Failed To Load World Summary","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i just transferred my world between pcs and now it says Failed To Load World Summary and i cant join it\n\n"
"MC-301222","Weird Blue spot on GUI","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I was trying the latest java snapshot when I noticed a weird blue patch on my UI, it seems to disappear when I press F1 but it seems to appear even on third person view.\n\n"
