"Issue Key","Summary","Type","Affects Version/s","Labels","Confirmation Status","Category","Resolution","Fix Version/s","Description"
"MC-300535","Some entities freeze upon entering this chunk","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When some entities touch this chunk, they freeze instantly and stop receiving damage from effects like fire. Despite this, these entities can be damaged by the player, but just one first time; after that, they stop taking damage.\n\nProjectiles and thrown items are affected too. Tamed horses don’t freeze just if you are on them, but you can’t dismount them while being in the chunk.\n\nIf a mob is killed by explosions from another chunk, the body remains on the floor, not ending the death animation, but turning the mob red and throwing the mob drop. This was tested with a creeper explosion.\n\nSpecific cases are, for example:\n\n* A zombie burning down doesn’t die, and it doesn’t start burning if it entered at night.\n\n\n* A witch keeps the potion effect that was taking when entering the chunk.\n\n\n* Endermen can’t teleport; in those cases, the particles are still moving.\n\n\n* Arrows don’t do damage to the player.\n\n\n* A tamed horse stops freezing if it’s mounted.\n\n\n* Items can’t be taken and start popping/falling infinitely.\n\n\n* Shulkers can’t move or open, but their projectiles still move in a straight line and despair at a range.\n\n\n* TNT makes the explosion animation but just disappears without making any damage.\n\n\n\nWe were playing on a server. The seed where we found it was `-9101802231045030160`, at XYZ: `166`/`100`/`-270`. When all players exit the world, the bug disappears, making all effects play together.\n\n"
"MC-300539","Phantoms spawn during the first night on a world.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Phantoms will spawn in the overworld night sky regardless of the amount of time passed in the world. \n\nSteps to reproduce:\n\n1. Create a world\n\n2. Wait for the game to turn to night\n\n\n\nExpected result: Phantoms spawn at night if the player has not slept for three in-game days.\n\nActual result: Phantoms spawn on the first night if the player hasn’t slept once.\n\n\n\n\n\n"
"MC-300546","Spawning bug","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In the first wave, pillagers spawned on an island beside the village and were completely passive, and the captain dropped an ominous bottle\n\n\n\n"
"MC-300562","Ender Dragon bring about unusual acceleration","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When the Ender Dragon is lingering over the return portal, it has no hitbox except for its head. This allows the player to be positioned inside the dragon's center. At the moment when the Ender Dragon tries to take off again, its hitbox reappears, and the player gets launched away. If the player shoots an arrow at that precise moment, the resulting arrow velocity becomes extremely high—not because the actual knockback on the Ender Dragon is particularly strong, but possibly because knockback is still being calculated internally (server-side?). Since arrow velocity is apparently calculated based on the internal values, the closer the player is to the dragon's center, the more abnormal the resulting arrow speed becomes. This is what is being claimed.\n\nExpected result: Arrow velocity should correspond to the actual knockback experienced by the player.Actual result: Either the internal knockback calculation on the Ender Dragon is absurdly exaggerated, or arrow velocity is being calculated based on internal values—at least one of these must be true, resulting in extremely high arrow speeds.\n\nWhile it's questionable whether knockback behavior should follow a purely exponential function—especially considering the changing hitbox—it remains unclear how much of this behavior is intentional.\n\nI don't have the equipment or specs to record a video myself, so I can't demonstrate the behavior in the latest version. However, there is an older version video that explains a bug caused by the same underlying factors, which I believe serves as a helpful reference. It should be reproducible using the same steps.  \n\n"
"MC-300572","Copper Golem prioritizes going up blocks instead of copper/wooden chests","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Expected Result: Copper Golems open copper chests before moving (up).\n\nActual Result: Most continue up to the top and *then *start opening chests.\n\n(Other issue/bug reports were not loading for me at this time, so I apologize if there is a similar problem I didn’t merge this one with.)\n\n"
"MC-300574","Zombies","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Zombies stand still on a campfire and freeze up \n\n"
"MC-300598","fire animation on mobs","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","In a lava flow, when a mob is burning the fire animation appears, only the damage animation\n\n"
"MC-300599","Piston Issue","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","By cloning a flying flying machine some parts of it disappear and get replaced to areas, where you can walk through but can't place anything. You also can't mine in this area. \n\n"
"MC-300602","Trees growing under water?","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Spotted some trees growing inside of a lake while exploring caves, not much else to really say about it.\n\n"
"MC-300607","Hostile mobs spawning during day and not burning | Worlds seem to be dark as if it is inside a cave","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Mobs are actively spawning in as if it is night, and the world seems to be very dark as if there is a giant cover of blocks over it. This is occurring inside of any world I open. Additionally, when placing blocks light seems to be created out of nowhere. Sleeping is not possible during day and sleeping during night does not change the state of the bug. Interestingly enough, whilst fooling around on a superflat testing world, no slimes were spawning in. The only hostile mobs spawning in were zombies, skeletons, creepers, spiders, and enderman. No slimes as per usual on a superflat. Also this is happening ONLY to my existing worlds no newly created worlds have this bug, even when leaving the world and rejoining. ALSO it only seems to be happening within certain chunks. Overall this is just an extremely  strange bug which I have not seen anyone talk about. I presume this is an issue with past mods I installed and uninstalled BUT I want to make sure this isn’t an actual bug which I can fix. (I know this probably isn’t important, but I want to be as thorough as possible, so I will say that there are no visible bugs on multiplayer worlds/servers).\n\n\n\n"
"MC-300611","zombie piglin mass spawning around nether portal in the overworld","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Game is constantly spawning large numbers of zombie piglin around  the nether portal in the over world. Not just one every once in a while, but up to 10 and counting within minutes of game play. closing and reloading world and relaunching the game does not change or help.\n\n"
"MC-300612","mobs floating instead of walking","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Mobs are floating over blocks instead of jumping and walking. When attacking mobs, they don't jump back, they float backwards, almost glitching across the screen. As if the mobs themselves are lagging in game, but the game isn't lagging. Relaunching game does not help.\n\n"
"MC-300614","not able to eat food in main hand","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When holding food in the main right hand, the eating particles and noises are produced, but the food is not being consumed. The hunger bar doesn’t fill, the food is just endlessly being eaten (until stopping the right click), and stack number of the food does not decrease. Relaunching doesn’t help.\n\n"
"MC-300618","Minecraft has another glitch","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","## Near Broken, Full Durability Tools\n\n#### On 5/8/25 I went into my Hermitcraft season 9 wold And My netherite tools had their Durability bars looking like they were going to break\n\nwith another use, I'm certain that I rarely used them, on my previous play session. I thought The game was just having a moment, so i tried repairing\n\nthem to full  Durability, I checked my old armor and tools that had been used and they had the durability glitch. sorry for bothering you and thank you for  \n\nmaking a game as great  Minecraft Congrats and Thank you for taking your time to read this report. \n\n\n\n"
"MC-300620","Fishing bobber's OnGround flag alternates every tick when on the ground","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When a fishing bobber entity (minecraft:fishing_bobber) touches the ground, its OnGround flag alternates between 0b and 1b every tick.\n\n"
"MC-300634","It some time lag aur hang for some mili seconds near trapdoor or while climbing on stairs","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","It some time lag aur hang for some mili seconds near trapdoor or while climbing on stairs . My device is samsung m31 . It happens in my device and as well as with my friends also.\n\n"
"MC-300643","1.21.8 not launching on some AMD graphics cards","Bug","1.21.8; 25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Hello, I have been unable to launch the latest version of Minecraft (1.21.8) and the latest snapshot using my AMD rx 7600 xt 16gb. The game will run in the background according to task manager and Minecraft launcher says it is running as well, but no game window appears. With my old nvidia GTX 1050 pc the game WILL open. The AMD card CAN play 1.21.0 and 1.20. Other users on the server i play report similar issues with their AMD graphics cards. I reinstalled the game 3 times with the same result each time. AMD driver version: 32.0.21013.1000, date 5/26/2025.  Reproduce the issue: Use an amd rx 7600 xt 16gb or other graphics cards the community cannot launch the game on. Specifications of the AMD pc: 7600 xt 16gb, 32gb ddr5, r7 9800x3d, b650 mobo, 2tb m.2 pcie gen 4. Nvidia pc that COULD run the game: gtx 1050 2GB, r5 4500, 16gb ddr4, 256gb/1tb sata SSDS (2), b450\n\n\n\n"
"MC-300647","Cant do torch anymore","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","Cant do torch\n\n"
"MC-300649","Resource pack overlays not working on Linux / macOS","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","**Steps to reproduce the issue:**\n\n1. Create a resource pack with overlays\n\n\n2. Activate the resource pack\n\n\n\n**Expected result:**Resource pack overlays also getting applied on Linux / macOS\n\n**Actual result:**Resource pack overlays not getting applied.\n\n"
"MC-300659","Perder la compra de Minecraft: Java & Bedrock Edition for PC","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Ya no puedo descargar el iniciador \n\n"
"MC-300683","Clicking on text-bearing blocks within any UI except the inventory results in a game crash.","Bug","25w31a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Clicking on text-bearing blocks (e.g., signs) within any UI except the inventory triggers a game crash.\n\n"
"MC-300715","block glitch","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i saw ender dragon head like this… so i retarted game and i still looked like this so just sayin\n\n"
"MC-300731","The Minecraft: Java Edition program flashes when I am inactive just in the main menu","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","The main menu should remain stable and not flash or flicker.\n\nThe program begins flashing intermittently when inactive on the main menu. This behavior is distracting and may indicate a rendering or UI issue.\n\nPlease investigate and fix this issue. It affects the user experience even before gameplay begins and could be related to how the menu screen handles idle states or graphics rendering. A stable main menu is important for accessibility and usability.\n\n"
"MC-300736","Skeleton Bow Visual Glitch","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Skeleton bow isnt upright it stays down even while shooting\n\n"
"MC-300737","Game randomly crashes in Singleplayer because of HashMap ConcurrentModificationException","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When attempting to play the game in singleplayer, there's a random chance the game might crash. Most of the time, it's HashMap#computeIfAbsent throwing ConcurrentModificationException.This issue happens because the hash map is the same object in both client and server in singleplayer. This creates a problem where the game can crash because when client thread runs computeIfAbsent on the map, server might add or remove entry from the map and vice versa.\n\nThis issue happens pretty sparsely and rarely because in the key is same in both threads most of the time which the exception isn’t thrown if an existing value gets changed when computeIfAbsent is running. This leaves pretty small time gap which makes it hard to reproduce. Though you can create a random string array, use them as keys and put them to HashMap, clear and redo it every tick in a method that runs in both threads to recreate it more easily.\n\nAs specified in JDK-8071667, this only happens if you use compute, computeIfAbsent, computeIfPresent or merge methods. It is specific to HashMap and other HashMap types.\n\nIn attachments there’s a method that recreates the crash which runs every player tick in both threads. strings is an array of 1000 random strings, map is String to String HashMap.\n\n"
"MC-300745","copper golem path finding error","Bug","25w32a","None","Confirmed","Mob behaviour","Awaiting Response","None","In vanilla minecraft, when the copper golem is at the edge of a long tube besides a platform, the copper golem will jump off the platform on their own, this can be replicated in a vanilla client using the official launcher\n\n"
"MC-300760","Realms list isn't sorted","Bug","1.21.8","None","Plausible","UI","Cannot Reproduce","None","The bug with the Realms list is completely messed up, before I had active Realms on top, and inactive ones on the bottom, I don’t know why exactly this happened, but I want to say that it happened after me removed from one Realms and after returned Honey Missile Wars, Bleps: Nocked and Loaded, Duel TNT, and Biome Run Remix\n\n"
"MC-300761","Windows HDR auto close","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","When I start the game, the HDR function of the Windows system well automatically turned off.\n\n\n\n"
"MC-300768","two overworld portals are connected to the same nether portal","Bug","25w32a","None","Unconfirmed","(Unassigned)","Incomplete","None","i linked a nether portal in the overworld near my house to the nether but when  tried to go back it sent me 300 blocks away from my house in an underground cave in the deepslate level \n\n"
"MC-300774","Cant steam in discord, Error code -1073740791","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","While playing java edition in multiplayer, trying to steam the game in discord only menu bar is showing. only few time game is getting steam on that time its too laggy\n\n"
"MC-300776","Players do not gain immediate acceleration when flying downwards using an elytra with fireworks as a result of gravity.","Bug","1.21.8; 25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Currently, when flying downward with fireworks using an elytra, the player does not gain immediate acceleration like they would with a Riptide trident. Instead, they must wait for the firework boost to expire before gravity takes full effect. It would improve control and consistency if downward boosts provided immediate acceleration, similar to Riptide tridents. Not sure if this is intended behavior or an oversight.\n\n\n\n(This probably affects all versions with elytra but i don’t know how to choose all versions in the 'affects versions' section above)\n\n"
"MC-300778","killing an item by using command could not trigger a 7 level signal input calibrated sculk sensor","Bug","1.21.8; 25w32a","None","Unconfirmed","(Unassigned)","Cannot Reproduce","None","i used /kill to kill an item but it did not trigger the calibrated sculk sensor\n\ntested in 25w32a\n\n"
"MC-300786","Issue with Arabic Language in Minecraft","Bug","25w33a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","\n\nDear Mojang Support,\n\nI would like to report an issue with the Arabic language support in Minecraft. The current implementation has several problems, including incorrect text alignment, broken word formatting, reversed letters, and an unsuitable font that is hard to read. These issues make the game difficult to enjoy for Arabic-speaking players.\n\nPlease consider improving Arabic localization and using a proper Arabic font to ensure a better experience for all users.\n\nThank you for your attention.\n\n"
"MC-300789","Floating Vines","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","In a jungle I found floating vines without any trees there\n\n"
"MC-300792","Bug with camera","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Today i hold shift and D keybind and my camera started shocking up down i don’t know what it that but it’s a bug\n\n"
"MC-300793","Stopped gaining expeirience","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I died exploring an end city after defeating the ender dragon and havent leveled up since. ive killed plenty of mobs idk whats going on\n\n\n\n"
"MC-300806","Non-existent structure block","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","###### help please I was just building in my minecraft world with the structure block, when I broke all the structure blocks I was left with the surrounding area of my build with no structure block and I don't know what to do anymore.\n\n\n\n"
"MC-300807","'weathering_copper_trap_door' block type ID is inconsistent with 'trapdoor' block type ID and block names","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Generally, block type IDs seem to be accurate to their respective blocks' names; however, `weathering_copper_trap_door` is one case where this is not true. The block type registry is exposed in the blocks' data generator report, meaning this behavior is observable with the vanilla Minecraft server JAR. \n\n**Steps to reproduce**\n\n1. Run the data generator\n\n\n2. Search for `weathering_copper_trap_door` in the output, observing that it exists\n\n\n3. Search for `trapdoor` in the output, observing that it also exists\n\n\n\n**Expected result**\n\nThe block type ID shown would be `weathering_copper_trapdoor`.\n\n**Actual result**\n\nThe block type ID shown is `weathering_copper_trap_door`.\n\n\n\nThe output can also be viewed here:  \n\n"
"MC-300809","I can't remove blocks from my inventory! in 1.21.8","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","`If I put a block in my inventory, I can't remove it. Only if I take more than one block can I remove all but one! Since today, it doesn't work unless I drag it back into my inventory, but it still works with the destruction field.`\n\n"
"MC-300815","Want to the green book to craft Soul Lanterns but it did nothing","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","I want to the green book in the crafting table and click on the Soul Lantern. and it didn’t show up how to make the Soul Lantern.\n\n"
"MC-300836","Bed is Occupied after pc shut off","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","I went to sleep in my bed in-game when my power temporarily went out. After regaining power, I re-logged into my world, which saved to right before I slept. When I tried sleeping in the bed, it said the bed was occupied, even though it was a single player world. Breaking the bed did reset it back to its normal state.\n\n"
"MC-300843","Locator bar glitching on a happy ghast","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","when you sit beside a person on a happy ghast the locator bar icon for that player is glitching like he is teleporting from one place to another \n\n"
"MC-300844","Skeleton bug","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Skeleton’s bow is floating under its hand,not in hand\n\n"
"MC-300845","crashing","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","i opined minecraft but fore some reason it was stuck on the loading screen and the only way that i could fix this is restart my pc ore alt + F4\n\n"
"MC-300851","Duplication of angry wolves","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Incomplete","None","Lead a angry wolf and have a sheep nearby and tried to lead the wolf to a fence post\n\n"
"MC-300860","Enchantments for everything","Bug","1.21.8","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Me and my friends were just playing around on a test server and i just started holding scroll wheel and i sent up stuff like sharpness on a chestplate and scroled and it was lowerd and i got a sharpness netherite chestplate so me and my friends just started and looking over it whit diffrent items and we made a cheastplate thats nearly impossible to get and my friends was like its just lag but the lag machine on off them made was made after that and then we started lloking at the wiki and twitter and we found nothing\n\n"
"MC-300861","Infinite blocks","Bug","25w32a","None","Unconfirmed","(Unassigned)","Awaiting Response","None","Blocks that are pushed by a piston when placed in creative mode will cause them to respawn after destruction and will not fall\n\n"
