BUG-ID,S2R Label,S2R Irrep Category,Reason,OB Category,OB Label,Reason,EB Category,EB Label,Reason
MC-300792 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300793 Raw,Non-Executable,Missing Information,How to go to end city is not mentioned like portal opening etc,Present,Sufficient,,Not Present,,
MC-300806 Raw,Non-Executable,Missing Information,Missing step how to use the block to save a structure.,Present,Sufficient,,Not Present,,
MC-300807 Raw,Non-Executable,Ambiguous Information,"Run which data generator, how?",Present,Sufficient,,Present,Accurate,
MC-300809 Raw,Non-Executable,Missing Information,How to go to end city is not mentioned like portal opening etc,Present,Insufficient,"Grammer makes it hard to understand. Can not understand from ""remove all but one""",Not Present,,
MC-300815 Raw,Non-Executable,Missing Information,Does not tell how to generate soul lantern,Present,Sufficient,,Not Present,,
MC-300836 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300843 Raw,Non-Executable,Missing Information,Does not tell anything multiplayer settings,Present,Sufficient,,Not Present,,
MC-300844 Raw,Non-Executable,Missing Information,No steps for reproducing or spawn ,Present,Sufficient,,Present,Accurate,
MC-300845 Raw,Executable,,,Present,Insufficient,Need specifications,Not Present,,
MC-300851 Raw,Non-Executable,Wrong Information,Lead an angry wolf wrong?,Present,Insufficient,Where is the duplication took place,Not Present,,
MC-300860 Raw,Non-Executable,Missing Information,Enchantments creation not exists,Present,Sufficient,,Not Present,,
MC-300861 Raw,Non-Executable,Ambiguous Information,which block,Present,Sufficient,,Not Present,,
MC-300872 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300874 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300875 Raw,Non-Executable,Missing Information,Does not mention Piglin Brutes,Present,Sufficient,,Not Present,,
MC-300876 Raw,Non-Executable,Missing Information,Missing information about how to crreate spesific world,Present,Sufficient,,Not Present,,
MC-300877 Raw,Non-Executable,Missing Information,You should go to the nether portal to mine quartz.,Present,Sufficient,,Not Present,,
MC-300881 Raw,Non-Executable,Missing Information,How to go to skın reportıng ıs not mentioned,Present,Sufficient,,Present,Accurate,
MC-300886 Raw,Executable,,Didn't tell the double click. But present. So applicable - general knowledge.,Present,Sufficient,,Not Present,,
MC-300889 Raw,Non-Executable,Ambiguous Information,"Any other object needs to be specified, such as. Requiring assumption to reproduce the bug",Present,Sufficient,Pumpkin carved is understod clearly,Present,Accurate,saying older version not shows the EB
MC-300891 Raw,Non-Executable,Missing Information,How to check the block state is missing.,Present,Insufficient,Red stone comparative missing. Should be spesified while writing blockstate.,Not Present,,
MC-300894 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300898 Raw,Non-Executable,,"Does not tell first wear ormor, etc, but acceptable because it says when wearing, and this is the only case.",Present,Sufficient,,Not Present,,
MC-300902 Raw,Non-Executable,Missing Information,Missing the initial steps,Present,Sufficient,,Not Present,,
MC-300903 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300905 Raw,Non-Executable,Missing Information,does not tell how to locate hoppers,Present,Sufficient,,Not Present,,Not explicitly written
MC-300915 Raw,Non-Executable,Missing Information,Does not tell how to create nether portal,Present,Sufficient,,Not Present,,Not explicitly written but understood
MC-300925 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-300927 Raw,Non-Executable,,does not tell details about the changes,Present,Sufficient,,Not Present,,"This can be understood from the inability to switch modes, although it is not explicitly stated."
MC-300934 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-300935 Raw,Non-Executable,Wrong Information,"Item names, places are not correct the insertion places are not correct (above should be below)",Present,Insufficient,A Redstone Torch on the side of a block cannot power a block that is above it,Present,Inaccurate,A Redstone Torch on the side of a block cannot power a block that is above it
MC-300937 Raw,Non-Executable,Missing Information,Need an assumption because of the wrong name of a block.,Present,Sufficient,,Not Present,,
MC-300943 Raw,Non-Executable,Missing Information,deos not tell which options are clicked.,Present,Sufficient,,Not Present,,
MC-300953 Raw,Non-Executable,Missing Information,Does not tell how to reproduce with steps. Can not understand and distinguish steps.,Present,Sufficient,,Present,Accurate,Reaching the 200 FPS.
MC-300957 Raw,Non-Executable,Missing Information,Needs some steps that says move around etc.,Present,Sufficient,,Not Present,,
MC-300962 Raw,Executable,,,Present,Sufficient,,Present,Accurate,normally written
MC-300973 Raw,Non-Executable,Missing Information,how to oxidize not clear,Present,Sufficient,,Not Present,,
MC-300980 Raw,Non-Executable,Missing Information,how to sneak ,Present,Sufficient,,Not Present,,
MC-300998 Raw,Non-Executable,Missing Information,not present,Not Present,,,Not Present,,
MC-301008 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-301018 Raw,Non-Executable,Missing Information,Does not tell how to pause game.,Present,Insufficient,"It's ambiguous what is meant by ""only pausing the game,"" and it is unclear overall.",Not Present,,
MC-301045 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-301046 Raw,Non-Executable,Missing Information,How to install is missing. What to install is missing.,Present,Sufficient,,Not Present,,
MC-301052 Raw,Non-Executable,Missing Information,Instructions for installing and accessing the missing pack are needed. The specifications for the ambiguous Festive Mash-Up Pack are also unknown.,Present,Sufficient,,Present,Accurate,
MC-301059 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-301071 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-301073 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-301076 Raw,Non-Executable,Missing Information,Can not understood too vague,Present,Insufficient,Too ambiguis can not be understand,Not Present,,
MC-301106 Raw,Non-Executable,Missing Information,no steps provided,Present,Sufficient,,Not Present,,
MC-301108 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-301109 Raw,Non-Executable,Ambiguous Information,vague phrases so much item,Present,Insufficient,duplication not provided,Not Present,,
MC-301111 Raw,Non-Executable,Missing Information,needs specification portal or portal frame ,Present,Insufficient,has ambuguity portal or portal frame,Present,Inaccurate,
MC-301117 Raw,Non-Executable,Ambiguous Information,Messing with commands is a vague phrase,Present,Insufficient,"What does ""Apply upwards the head"" mean visually? What does ""Easter Egg applied"" mean",Not Present,,
MC-301122 Raw,Executable,,with title it is ok,Present,Sufficient,,Not Present,,
MC-301125 Raw,Non-Executable,Missing Information,Just OB written no consecutive steps can be understood.,Present,Insufficient,You can not mine a block in adventure. ,Not Present,,
MC-301128 Raw,Executable,,concise and enough,Present,Sufficient,,Not Present,,
MC-301131 Raw,Non-Executable,Missing Information,No steps for reproduction,Present,Sufficient,,Not Present,,
MC-301132 Raw,Non-Executable,Missing Information,Which item. Block positioning unclear. Also misisng how to generate this enviornment that you can not reach the block.,Present,Sufficient,,Not Present,,
MC-301135 Raw,Non-Executable,Missing Information,This text does not include any description; it only contains a title. It is insufficient.,Not Present,,,Not Present,,
MC-301141 Raw,Non-Executable,Ambiguous Information,"""does not occur everywhere"" those type of sentences",Present,Insufficient,"""does not occur everywhere"" those type of sentences",Not Present,,
MC-301151 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-301157 Raw,Non-Executable,Missing Information,no steps to reproduce,Present,Sufficient,,Not Present,,
MC-301159 Raw,Non-Executable,Missing Information,no steps to reproduce,Present,Insufficient,"User only say ""check the video""",Not Present,,
MC-301170 Raw,Non-Executable,Missing Information,No step cluster can be distinguished; it is not obvious.,Present,Sufficient,,Not Present,,
MC-301171 Raw,Executable,,,Present,Sufficient,,Present,Accurate,
MC-301173 Raw,Executable,,,Present,Sufficient,,Not Present,,
MC-301176 Raw,Non-Executable,,There are missing steps regarding how to change or obtain skins.,Present,Sufficient,,Not Present,,
MC-301183 Raw,Non-Executable,Missing Information,Missing step related to spawn a happy ghast and how to lead,Present,Sufficient,,Not Present,,
MC-301184 Raw,Non-Executable,Missing Information,"The location of the carpet cannot be clearly understood, specifically which part of the mechanism. Also How to create transparent wall piston is not clear.",Present,Sufficient,,Present,Accurate,
MC-301202 Raw,Non-Executable,Missing Information,no steps,Present,Sufficient,,Not Present,,
MC-301203 Raw,Non-Executable,Missing Information,"How change the skin, which type",Present,Sufficient,,Not Present,,
MC-301205 Raw,Non-Executable,Missing Information,How the computers changed is insuficent,Present,Sufficient,,Not Present,,
MC-301221 Raw,Non-Executable,Ambiguous Information,"vague phrases like some items, arent correctly rendered etc.",Present,Sufficient,,Present,Accurate,
MC-301222 Raw,Non-Executable,Missing Information,Missing critical information.,Present,Sufficient,,Not Present,,
MC-301234 Raw,Non-Executable,Ambiguous Information,how to rotate or use the ticking command,Present,Sufficient,,Not Present,,
MC-301252 Raw,Non-Executable,Missing Information,Missing critical information.,Present,Insufficient,which items,Present,Accurate,
